,Unnamed: 0,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,Protein,fiber,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,Characteristics,supplier,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Notice,May contain traces of,Freshness guarantee (minimum),Region of origin,storage,Sodium,Country of origin,distributor,Description,Size,Delivery days,Product informationThe supplier has not provided us with detailed information about this product.Show all Schär products
0,0,Märkisches Landbrot demeter rye bread,"5,49€","A hearty wholemeal bread made from 100% wholemeal rye with a slightly malty caramel character. The interesting thing about this bread with the strong crust and juicy crumb is the sweet note that it gets from the spicy rye and the long baking time. , Märkisches Landbrot GmbH has provided the above information.",https://oda.com//de/products/56914-markisches-landbrot-markisches-landbrot-demeter-ro/,https://bilder.kolonial.no/local_products/5d9ad358-22fd-4346-8331-9a7427f8150d.jpg?auto=format&fit=max&w=450&s=b0331f883b032133b14be463da5741cb,1.40 g,6.20 g,9 g,0.60 g,40 g,0.20 g,1.10 g,896 kJ / 215 kcal,Bio-Product,"Märkisches Landbrot GmbH, Bergiusstrasse 36, 12057 Berlin, Germany","RYE sourdough** (food water, WHOLEMEAL RYE MEAL**, sourdough cultures*), WHOLEMEAL RYE MEAL**, WHOLEMEAL RYE MEAL** scalded, food water, rock salt. Deco: WHOLEMEAL RYE MEAL**

Grain content: 100% WHOLEMEAL RYE MEAL**
QUID: 62% RYE**
*from controlled organic production, **from biodynamic production",1000 Gramm,daily,"Bread, baked goods & spreads",Fresh out of the oven,oda,in,in,in,in,in,in,in,in,in,in,in,in
1,1,Märkisches Landbrot demeter light spelled,"3,69€","A light, mild organic yeast bread with a particularly aromatic, crispy crust and soft crumb, which is characterized by a long dough process. This bread is ideal for sweet and savory spreads and as an accompaniment to salads, soups or hearty dishes. , Märkisches Landbrot GmbH has provided the above information.",https://oda.com//de/products/56915-markisches-landbrot-markisches-landbrot-demeter-di/,https://bilder.kolonial.no/local_products/d36cd94f-22e4-40a4-9098-f7e4895792b0.jpg?auto=format&fit=max&w=450&s=f2ab9412b172d8be55e106914b09be14,1.40 g,8.40 g,2.90 g,0.50 g,42 g,0.10 g,0.80 g,918 kJ / 220 kcal,Bio-Product,"Märkisches Landbrot GmbH, Bergiusstrasse 36, 12057 Berlin, Germany","SPELLED FLOUR type 630**, food water, SPELLED FLOUR type 630** brewed, SPELLED WHOLEMEAL MEAL**, SPELLED baking ferment** [food water, SPELLED FLOUR type 630**, baking ferment* [corn flour*, pea flour*, blossom honey*], honey*], , yeast*, rock salt
Decoration: SPELLED FLOUR Type 630**
Grain content: 90 % SPELLED FLOUR type 630**, 10 % SPELLED WHOLEMEAL MEAL**
QUID: 80% SPELLED**
*from controlled organic production, **from biodynamic production",375 Gramm,daily,"Bread, baked goods & spreads",Fresh out of the oven,oda,in,in,in,in,in,in,in,in,in,in,in,in
2,2,Märkisches Landbrot demeter carrot and walnut bread,"4,99€","Freshly grated carrots give this very juicy wholemeal bread its slightly fruity sweetness. A particularly sophisticated bread with a soft crumb, to which walnuts and millet give a crunchy bite. Rolled in a rich seed decoration, it is an all-round successful powerhouse. , Märkisches Landbrot GmbH has provided the above information.",https://oda.com//de/products/56916-markisches-landbrot-markisches-landbrot-demeter-mo/,https://bilder.kolonial.no/local_products/dbe36b0d-4c12-4190-9e94-a810159cdcc2.jpg?auto=format&fit=max&w=300&s=54cb410b5bc81842819a4093cb1bd4bd,1.20 g,6.50 g,7.70 g,2 g,34 g,0.40 g,3 g,863 kJ / 206 kcal,Bio-Product,"Märkisches Landbrot GmbH, Bergiusstrasse 36, 12057 Berlin, Germany","RYE sourdough** (food water, WHOLEMEAL RYE MEAL**, sourdough cultures*), WHOLEMEAL WHEAT MEAL**, food water, fresh carrots**, millet* scalded, WALNUTS* roasted, carrot flakes*, rock salt.
Decoration: linseed**, poppy seeds*, SESAME**, sunflower seeds**, RYE FLAKES**

Grain content: 60% WHOLEMEAL WHEAT MEAL**, 35% WHOLEMEAL RYE MEAL**, 5% millet*
QUID: 18% carrots**, 2% walnuts*
*from controlled organic production, **from biodynamic production",750 Gramm,daily,"Bread, baked goods & spreads",Fresh out of the oven,oda,in,in,in,in,in,in,in,in,in,in,in,in
3,3,Märkisches Landbrot demeter Uckermarker,"4,99€","A slice of bread straight out of a picture book: the pronounced crispy crust has wild pores when cut. Rye and spelled flour from biodynamic cultivation in the Uckermark ensure the velvety crumb with a hearty, spicy taste. , Märkisches Landbrot GmbH has provided the above information.",https://oda.com//de/products/56917-markisches-landbrot-markisches-landbrot-demeter-uc/,https://bilder.kolonial.no/local_products/4045ba8e-4503-47e2-ad7f-ea1c63f98639.jpg?auto=format&fit=max&w=450&s=7aea60359ee2ac803727a41a378c3728,1.30 g,6.30 g,4.50 g,3.30 g,44 g,0.10 g,0.80 g,930 kJ / 222 kcal,Bio-Product,"Märkisches Landbrot GmbH, Bergiusstrasse 36, 12057 Berlin, Germany","RYE sourdough** (RYE FLOUR type 1150**, food water, WHOLEMEAL RYE MEAL**, sourdough cultures*), food water, RYE FLOUR type 1150**, SPELLED FLOUR type 630**, rock salt, barley malt flour**, caraway* roasted and ground.
Decoration: RYE FLOUR Type 1150**.

Grain content: 76% RYE FLOUR type 1150, 20% SPELLED FLOUR type 630, 4% WHOLE RYE GRAIN
QUID: 42% RYE, 11% SPELLED
*from controlled organic production, **from biodynamic production",750 Gramm,daily,"Bread, baked goods & spreads",Fresh out of the oven,oda,in,in,in,in,in,in,in,in,in,in,in,in
4,4,Märkisches Landbrot demeter Märkische crust,"5,99€","The rustic bread was baked directly on the stone slab according to old handicraft tradition. The extremely long dough process of approx. 17 hours makes the mixed bread light and particularly tasty. The roasted aromas of the pronounced crust and the mild acidity underline the character and make the Märkische Crust a treat for every occasion. , Märkisches Landbrot GmbH has provided the above information.",https://oda.com//de/products/56918-markisches-landbrot-markisches-landbrot-demeter-ma/,https://bilder.kolonial.no/local_products/4c1de063-9f8d-42f0-8496-d037d45c7b25.jpg?auto=format&fit=max&w=450&s=359a033de892419f5c0f9b199e5ed101,1.40 g,6.70 g,4.70 g,1.70 g,42 g,0.20 g,1 g,881 kJ / 210 kcal,Bio-Product,"Märkisches Landbrot GmbH, Bergiusstrasse 36, 12057 Berlin, Germany","RYE SOURDOUGH** (food water, RYE FLOUR type 1150**, WHOLEMEAL RYE MEAL**, sourdough cultures*), WHEAT FLOUR type 1050**, food water, RYE** pressed and cooked, RYE FLOUR type 1150**, ROASTED BREAD**, rock salt.
Decoration: RYE FLOUR Type 1150**

Grain ingredients: 50% WHEAT FLOUR type 1050**, 34% RYE FLOUR type 1150**, 16% WHOLEMEAL RYE MEAL**
*from controlled organic production, **from biodynamic production",1000 Gramm,daily,"Bread, baked goods & spreads",Fresh out of the oven,oda,in,in,in,in,in,in,in,in,in,in,in,in
5,5,Spell break,"3,99€",", Oda Germany GmbH has provided the above information.",https://oda.com//de/products/56942-oda-bakery-dinkelbrot/,https://bilder.kolonial.no/local_products/cdf812b4-e09e-406d-a20e-cc90a5f86b01.jpg?auto=format&fit=max&w=1000&s=94f08386e6f3d11d8881e6e2ec4c0171,1.50 g,9.20 g,6.60 g,6.60 g,38.90 g,0.80 g,7.90 g,1156 kJ / 275 kcal,in,"Oda Germany GmbH, Zeughofstrasse 1f, 10997 Berlin, Germany","Water, 21% WHOLEMEAL SPELLED WHEAT FLOUR, 17% WHOLEMEAL SPELLED WHEAT FLAKES, 9% sunflower seeds, 3% dried WHOLEMEAL SPELLED WHEAT SOURDOUGH, BARLEY MALT, dextrose, potato flakes, sugar, table salt, thickener guar gum, yoghurt powder (MILK), fructose, EGG WHITE POWDER, apple fibre, apple powder, corn flour , rice flour, yeast , acidifier malic acid.
Wafer: Starch, emulsifier lecithins, dye iron oxides and iron hydroxides, acidifier citric acid.

The product may contain traces of nuts, soy and sesame.",750 Gramm,daily,"Bread, baked goods & spreads",Fresh out of the oven,oda,in,in,in,in,in,in,in,in,in,in,in,in
6,6,Beetle Ciabatta Tomatoes and wild garlic,"1,99€",", Oda Germany GmbH has provided the above information.",https://oda.com//de/products/56943-oda-bakery-kafer-ciabatta-tomaten-und-barlauch/,https://bilder.kolonial.no/local_products/7eaae220-6422-4e5c-b307-1ce629805c7e.png?auto=format&fit=max&w=911&s=0a816b27df0d055fb69140f68090b738,1.60 g,8.90 g,4 g,2.80 g,50 g,0.20 g,0.90 g,1069 kJ / 252 kcal,in,"Oda Germany GmbH, Zeughofstrasse 1f, 10997 Berlin, Germany","WHEAT FLOUR, water, wheat sourdough (WHEAT FLOUR, water, RYE FLOUR), DURUM WHEAT semolina, 3% dried tomato flakes, yeast, salt, 1% dried wild garlic, BARLEY MALT EXTRACT, dextrose, rapeseed oil. The product may contain traces of milk, eggs, soy, nuts and sesame.",300 Gramm,daily,"Bread, baked goods & spreads",Fresh out of the oven,oda,in,in,in,in,in,in,in,in,in,in,in,in
7,7,Beetle ciabatta with olives,"1,99€",", Oda Germany GmbH has provided the above information.",https://oda.com//de/products/56944-oda-bakery-kafer-ciabatta-mit-oliven/,https://bilder.kolonial.no/local_products/6e7fccf1-065e-4ec3-a3b0-edde86b1fa29.png?auto=format&fit=max&w=911&s=05a1a39ebb9a3cf531a5091a7008b512,2.40 g,8 g,3.90 g,1.30 g,47.60 g,0.50 g,2.40 g,1067 kJ / 252 kcal,in,"Oda Germany GmbH, Zeughofstrasse 1f, 10997 Berlin, Germany","WHEAT FLOUR, water, 11% black olives, wheat sourdough (WHEAT FLOUR, water, RYE FLOUR), durum WHEAT semolina, salt, yeast, BARLEY MALT EXTRACT, extra virgin olive oil, dextrose, rapeseed oil.

The product may contain traces of eggs, milk, nuts, sesame, soy.",330 Gramm,daily,"Bread, baked goods & spreads",Fresh out of the oven,oda,in,in,in,in,in,in,in,in,in,in,in,in
8,8,Rustic Crust Bread,"2,69€",", Oda Germany GmbH has provided the above information.",https://oda.com//de/products/56945-oda-bakery-rustikales-krustenbrot/,https://bilder.kolonial.no/local_products/22ddd52b-8653-47b7-ae8e-03cd978aff48.jpg?auto=format&fit=max&w=1000&s=293cdbb7126d05ab33680922cee48852,1.30 g,6.80 g,in,1.50 g,41.70 g,0.20 g,0.90 g,917 kJ / 217 kcal,in,"Oda Germany GmbH, Zeughofstrasse 1f, 10997 Berlin, Germany","Water, natural rye sourdough (RYE FLOUR, water), RYE FLOUR, WHEAT FLOUR, salt, yeast, WHEAT GLUTEN, thickener guar gum, ROASTED BARLEY MALT. The product may contain traces of sesame and nuts.",780 Gramm,daily,"Bread, baked goods & spreads",Fresh out of the oven,oda,in,in,in,in,in,in,in,in,in,in,in,in
9,9,Sour Dough Bread,"2,79€",", Oda Germany GmbH has provided the above information.",https://oda.com//de/products/56946-oda-bakery-sauerteigbrot/,https://bilder.kolonial.no/local_products/5d735222-3eb1-4795-a079-24077614cb54.jpg?auto=format&fit=max&w=1000&s=dff0687936a7ee51a0f766283d624f7d,1.60 g,7.20 g,4.50 g,0.70 g,51.50 g,0.10 g,1 g,1067 kJ / 254 kcal,in,"Oda Germany GmbH, Zeughofstrasse 1f, 10997 Berlin, Germany","Water, 25% rye sourdough (57% RYE FLOUR, water), WHEAT FLOUR, 16% RYE FLOUR, iodized salt, yeast. The product may contain traces of milk, sesame, soy and lupins.",430 Gramm,daily,"Bread, baked goods & spreads",Fresh out of the oven,oda,in,in,in,in,in,in,in,in,in,in,in,in
