,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salz,Protein,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lieferant,Ursprungsland,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,Frischegarantie (mindestens),PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Eigenschaften,Ursprungsregion,Ballaststoffe,Lagerung,Kann Spuren enthalten von ,Abtropfgewicht,Variables Gewicht,Beschreibung,Inverkehrbringer,Hinweis,mehrfach ungesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Besonderheiten,Gewichtsklasse,Güteklasse,Größe,Handelsklasse,Size,Delivery days,Freshness guarantee,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Alpro anzeigen,Natrium,Pfand
0,Mozzarella,"2,09€","Mozzarella aus Kuhmilch, heller und elastischer Teig, mild und milchfrisch im Geschmack. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/30580-oda-kasetheke-mozzarella/,https://bilder.kolonial.no/local_products/94e78552-d6bf-45c5-b2af-ac3d3f8072e4.jpg?auto=format&fit=max&w=1000&s=9fdff1963d80a42a0e014668c546c2af,0.50 g,18 g,0.30 g,0.40 g,10.60 g,15.50 g,886 kJ / 213 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",Italien,"KUHMILCH, Salz, Labaustauschstoff, Milchsäurebakterien. ",125 Gramm,täglich,5 Tage,"Käse, Eier & Milchprodukte",Käsetheke,oda,,,,,,,,,,,,,,,,,,,,,,,
1,bio-verde Bio Gorgonzola DOP,"3,89€","Weichkäse aus Kuhmilch, mindestens 60 Tage gereift , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58715-bio-verde-bio-verde-bio-gorgonzola-dop/,https://bilder.kolonial.no/local_products/e5ae651c-6732-48a8-b4b4-badbc959b94f.jpg?auto=format&fit=max&w=1000&s=9e02d9826108c28f2726abb9173d2db3,1.60 g,18 g,0 g,0 g,19 g,27 g,1305 kJ / 315 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"KUHMILCH*, Meersalz, tierisches Lab.
* aus kontrolliert ökologischem Anbau ",125 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,Bio-Produkt,Italien,,,,,,,,,,,,,,,,,,,,,
2,Willicroft Greek White,"3,55€","Pflanzliche Alternative zu Käse in Salzlake, porzellanfarbener Teig mit Bruchlochung, aromatisch würziger Geschmack und geschmeidig cremige Textur. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58730-willcroft-willicroft-greek-white/,https://bilder.kolonial.no/local_products/7b5457d3-556a-4eec-9379-5ceaf72cd690.jpg?auto=format&fit=max&w=1000&s=272526f08fca0b4c573ddb46589b0314,1.90 g,3.70 g,0.50 g,12.40 g,23.20 g,25.90 g,1258 kJ / 304 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"Wasser, 25% Kokosnussöl, 13% Weiße Bohnen, Kartoffelstärke, Kartoffelprotein, Apfelessig, Meersalz, natürliches Aroma, Antioxidationsmittel (Ascorbinsäure), Trockenhefe, Knoblauchpulver.",150 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,,Niederlande,3.40 g,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,,,,,,,,,,,,,,,,,,
3,Bio Willicroft Italian Aged,"3,95€","Pflanzliches Bio Pasta Topping auf Cashewbasis, elfenbeinfarbener Teig ohne Lochung, aromatisch-würzig im Geschmack, mit krümeliger Textur. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58731-willicroft-bio-willicroft-italian-aged/,https://bilder.kolonial.no/local_products/8be4b121-4244-412c-9818-295758f6fb00.jpg?auto=format&fit=max&w=1000&s=646665b0fe7204ceb595636a2bf56843,2.30 g,20.20 g,6.80 g,29.80 g,6.80 g,40 g,2215 kJ / 529 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"77,2% CASHEWKERNE*, Maisstärke*, 4,8% Trockenhefe*, Salz*, Knoblauchpulver*, natürlicher Hefeextrakt*. *Aus kontrolliert ökologischem Anbau. 
Kann Spuren von GLUTEN und SOJA enthalten. ",75 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,Bio-Produkt,Niederlande,15.30 g,,"Gluten, Sojabohnen.",,,,,,,,,,,,,,,,,,
4,Bio Mozzarisella Classic,"2,79€","Pflanzliche Alternative zu Mozzarella, hell elfenbeinfarben ohne Lochung, aromatisch und elastisch, Italien. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58732-oda-kasetheke-bio-mozzarisella-classic-alternative/,https://bilder.kolonial.no/local_products/ac3b88c6-8100-41c2-9a3f-716bf3d272cb.jpg?auto=format&fit=max&w=1000&s=814b9b3c4eec4899735b2244ed0dd5b0,1.50 g,0.70 g,0.30 g,8.50 g,14 g,16 g,766 kJ / 185 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"44% Reiszubereitung [Wasser, 20,8% gekeimter Vollkornreis*, Speisesalz, Apfelessig*], Wasser, Kokosöl*, Sonnenblumenöl mit Oregano [Sonnenblumenöl*, Oregano*], Zitronensaft*, Apfelessig*, Salz, Verdickungsmittel (Agar-Agar, Gummi arabicum*, Xanthan, Johannisbrotkernmehl*).
* aus kontrolliert ökologischem Anbau",125 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,Bio-Produkt,Italien,2.20 g,KühlproduktMuss zwischen 2-7 °C gelagert werden.,,,,,,,,,,,,,,,,,,,
5,new roots Bio La Cotta Nature,"5,09€","Pflanzliche Alternative zu Ricotta, porzellanfarbener Teig, feinsäuerlicher Geschmack bei cremiger Textur, Kanton Bern. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58733-oda-kasetheke-new-roots-bio-la-cotta-nature-pflanz/,https://bilder.kolonial.no/local_products/a382e783-91de-4c5e-897a-437c21dbb997.jpg?auto=format&fit=max&w=1000&s=7c4485859527e944ef6a8087aa7b78bf,0.80 g,11 g,1 g,8.70 g,4.60 g,25.40 g,1327 kJ / 320 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"52% CASHEWKERNE*, Wasser, Steinsalz, vegane Fermentationskulturen.
* aus kontrolliert ökologischem Anbau ",120 Gramm,täglich,6 Tage,"Käse, Eier & Milchprodukte",Käsetheke,oda,Bio-Produkt,Schweiz,,KühlproduktMuss zwischen 0-4 °C gelagert werden.,,,,,,,,,,,,,,,,,,,
6,new roots Bio Soft White,"6,69€","Pflanzliche Alternative zu Weichkäse mit weißem Edelschimmel aus fermentierten Cashewkernen, 3 Wochen gereift, porzellanfarbener Teig ohne Lochung, mild-aromatisch bei cremiger Textur, Kanton Bern. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58736-oda-kasetheke-new-roots-bio-soft-white/,https://bilder.kolonial.no/local_products/36824cdf-3785-4ab4-b32a-dfa384fbc07b.jpg?auto=format&fit=max&w=1000&s=bee35b5e052a9f36623a015efee0ecbe,1.20 g,13.40 g,1 g,10.60 g,5.50 g,30.80 g,1608 kJ / 388 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"63% CASHEWKERNE*, Wasser, Steinsalz, vegane Fermentations- und Edelschimmelkulturen.
* Aus kontrolliert biologischem Anbau ",120 Gramm,täglich,6 Tage,"Käse, Eier & Milchprodukte",Käsetheke,oda,Bio-Produkt,Schweiz,,,,,,,,,,,,,,,,,,,,,
7,Bio Büffel Burrata,"3,29€","Käsezubereitung aus Bio-Büffelmilch und Bio-Kuhsahne saftige, elastische Textur, milchfrisch-sahniger Geschmack mit typischer Moschusnote und köstlich-cremigem Mundgefühl, Kampanien. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58737-oda-kasetheke-bio-buffel-burrata/,https://bilder.kolonial.no/local_products/44352189-50e7-48d2-aef8-68c3cf4eaeeb.jpg?auto=format&fit=max&w=1000&s=89fac354da057ae5cb44025b5c866a73,0.40 g,11 g,0.90 g,0.90 g,17 g,25 g,1127 kJ / 273 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"BÜFFELMILCH*, 42% KUH-SAHNEerzeugnis* Ultrahocherhitzt , BÜFFELMOLKE*, Salz, Lab. 
* aus kontrolliert ökologischem Landbau. ",125 Gramm,täglich,5 Tage,"Käse, Eier & Milchprodukte",Käsetheke,oda,Bio-Produkt,Italien,,,,125 Gramm,,,,,,,,,,,,,,,,,
8,Bio PP Wildblume,"6,15€","Schnittkäse aus Bio-Heumilch, ca. 4 Monate gereift essbare Rotschmiererinde, cremiger Teig mit unregelmäßiger erbsengroßer Lochung, würzig im Geschmack, Allgäu/Deutschland. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58738-oda-kasetheke-bio-pp-wildblume/,https://bilder.kolonial.no/local_products/965b7554-8835-4e44-a932-acf3f530d29d.jpg?auto=format&fit=max&w=1000&s=702f8827e2273336b15c9cf8d02d8371,1.40 g,26 g,0.10 g,0.10 g,25 g,35 g,1737 kJ / 419 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",,"HEUMILCH g. t. S.*, Salz, KÄSEREIKULTUREN, Lab, Naturrinde mit Blütenmix (Ringelblumenblütenblätter*, Erdbeerblätter*, Schabzigerklee*, Kornblumenblütenblätter*).
* Aus kontrolliert ökologischer Erzeugung ",180 Gramm,täglich,,"Käse, Eier & Milchprodukte",Käsetheke,oda,Bio-Produkt,Deutschland,,,,,,,,,,,,,,,,,,,,,
9,La Tur,"6,59€","Weichkäse aus der Region Langhe im Piemont, der aus einer Mischung aus Kuh-, Ziegen- und Schafsmilch hergestellt wird. Er verfügt über eine beigefarbene gewellte Rinde und dank der Mischung aus den drei Milchsorten einen sehr cremigen Geschmack, der den Käse zu einer echten Rarität , Fromi GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58739-oda-kasetheke-la-tur-weichkase/,https://bilder.kolonial.no/local_products/8d1b02d3-6e71-4258-bdaa-7c0ad51987d9.jpg?auto=format&fit=max&w=942&s=6d30227d2ef461237813fccfae57901e,1 g,14 g,1.80 g,1.80 g,18 g,25 g,1200 kJ / 290 kcal,Fromi GmbH,Italien,"MILCH 98% (Kuh; Ziegen; Schaf); Salz 1%; Kulturen 0,1%; Labaustauschstoff 0,1% Enthält: LAKTOSE, MILCH ",ca. 230 Gramm,täglich,4 Tage,"Käse, Eier & Milchprodukte",Käsetheke,oda,,,1.50 g,KühlproduktMuss zwischen 2-7 °C gelagert werden.,,,"Dieses Produkt kann in Gewicht und Größe leicht variieren. Der Preis wird dem tatsächlichen Gewicht am Tag der Lieferung angepasst. Wir stellen sicher, dass die Abweichung so gering wie möglich gehalten wird.","Der La Tur is ein in nur 10 Tagen gereifter Weichkäse und wird in der Region Langhe im Piemont in Italien hergestellt. Die Langhe zählt zu den faszinierendsten Landschaften in der Region Piemont. Sie ist berühmt für ihren Wein, ihre wundervolle Natur und vor allem ihre kulinarischen Leckerbissen. Du kannst in mir den butterartigen Reichtum aus der Kuhmilch, den Geschmack der Ziegenmilch und die weiche Nussigkeit der Schafsmilch schmecken. Die drei Milchsorten ergänzen sich gut, und das ist der Grund, dass ich einen relativ komplexen Geschmack für einen jungen, weichen Käse habe.",,,,,,,,,,,,,,,
