,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salz,Protein,Ballaststoffe,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lieferant,Ursprungsregion,Pfand,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Frischegarantie (mindestens),Gekühlt (+2 bis +7°C) mind. haltbar bis,Eigenschaften,Ursprungsland,Informationen zum Angebot,Lagerung,Kann Spuren enthalten von ,Abtropfgewicht,davon Stärke,Beschreibung,Hinweis zur Frischegarantie,Einfach ungesättigte Fettsäuren,EInlage Currywurstscheiben,Bruttogewicht,Bei Raumtemperatur lichtgeschützt aufbewahren. Nach dem Öffnen kühl (max. +7°C) lagern und innerhalb von 2 Tagen aufbrauchen. Mindestens haltbar bis,Hinweis,davon Polyole,mehrfach ungesättigte Fettsäuren
0,Innocent Orangensaft ohne Fruchtfleisch,"2,99€","innocent Orangensaft ohne Fruchtfleisch 900ml , innocent Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44085-innocent-innocent-orangensaft-ohne-fruchtfleisch-e/,https://bilder.kolonial.no/local_products/5d637b19-92f4-45af-afd5-d89937c3ec00.jpg?auto=format&fit=max&w=1000&s=c57faaff3fcc2d11c3f917d0a690754e,0.01 g,0.70 g,0.70 g,7.80 g,7.80 g,0.10 g,0.50 g,149 kJ / 35 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 München, Deutschland",,"+ 0,25 €",Orangensaft (100%).,900 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
1,"Innocent Juice Plus ""Blue Break""","3,29€","innocent Blue Break 750ml , innocent Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/54311-innocent-innocent-juice-plus-blue-break/,https://bilder.kolonial.no/local_products/12b7276b-735b-43b6-a1f5-db0c720c35fb.jpg?auto=format&fit=max&w=1000&s=fcab20125644ada1c721a432bf5f4ccb,0.01 g,0.50 g,,9.30 g,10 g,0.10 g,0.50 g,172 kJ / 41 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 München, Deutschland",,,"Apfelsaft (66%), Kokosnusssaft (18%), weißer Traubensaft, weißes Guavenpüree (5,2%), Maracujapüree, Limettensaft, Spirulina-Extrakt (0,81%) und Vitamine (Vitamin B1, B2, B3, B6, C, E).",750 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,6 Tage,,,,,,,,,,,,,,,,,
2,Dean & David Green Guru Saft,"3,69€","mit Orangensaft, Apfelsaft und Selleriesaft , dean&david smartfood GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59622-deandavid-dean-david-green-guru-saft-einweg/,https://bilder.kolonial.no/local_products/d598547c-42f5-4704-b5f1-25c032af5a95.jpg?auto=format&fit=max&w=450&s=919eed593dea06bf270c7ac655988d1d,0 g,0.54 g,,7.30 g,8.40 g,0 g,0 g,163 kJ / 38 kcal,"dean&david smartfood GmbH, Lohenstraße 8, 82166 Gräfelfing, Deutschland",Deutschland,"+ 0,25 €","Zutaten: Orangensaft 35,5%, Apfelsaft 34%, Selleriesaft 20%, Spinatsaft 8%, Ingwersaft 1,5%, Zitronensaft 1%, Weizengraspulver 0,02%, Ascorbinsäure",330 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
3,Dean & David Berry Love Saft,"3,69€","mit Orangensaft, Ananassaft und Erdbeersaft , dean&david smartfood GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59623-deandavid-dean-david-berry-love-saft-einweg/,https://bilder.kolonial.no/local_products/b5836a6f-afbc-4e50-8f0a-eb2b52ed1de1.jpg?auto=format&fit=max&w=223&s=2eb5cabfdb4b29106c609eae4c8e2786,0 g,0.60 g,,10.20 g,10.20 g,0 g,0 g,208 kJ / 50 kcal,"dean&david smartfood GmbH, Lohenstraße 8, 82166 Gräfelfing, Deutschland",Deutschland,"+ 0,25 €","Zutaten: Orangensaft 41%, Ananassaft 41%, Erdbeersaft 16%, Rote Bete Saft 2%, Açaí 0,01%, Ascorbinsäure",330 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
4,Dean & David Refresh Saft,"3,69€","mit Ananassaft, Apfelsaft und Kokosnusswasser , dean&david smartfood GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59624-deandavid-dean-david-refresh-saft-einweg/,https://bilder.kolonial.no/local_products/2aa7fc60-637c-4946-8e27-ca9cccd307f8.jpg?auto=format&fit=max&w=449&s=3c14975e7868b2c1718209ee28eb6329,0 g,0.30 g,,9.90 g,10.50 g,0 g,0 g,187 kJ / 44 kcal,"dean&david smartfood GmbH, Lohenstraße 8, 82166 Gräfelfing, Deutschland",Deutschland,"+ 0,25 €","Zutaten: Ananassaft 50%, Apfelsaft 43,7%, Kokosnusswasser 5%, Limettensaft 1%, Zitronengrassaft 0,3%, Ascorbinsäure",330 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
5,Dean & David Ingwershot Kurkuma,"2,59€","mit Orangensaft, Ingwersaft und Kurkumasaft , dean&david smartfood GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59625-deandavid-dean-david-ingwershot-kurkuma/,https://bilder.kolonial.no/local_products/17d44261-6905-4e86-af5b-7fb1cf2e7a94.jpg?auto=format&fit=max&w=341&s=da5e7ff3e2820f4eccf75a7b9f93ac77,-0.02 g,0.86 g,,8.43 g,8.54 g,0.09 g,0 g,172 kJ / 41 kcal,"dean&david smartfood GmbH, Lohenstraße 8, 82166 Gräfelfing, Deutschland",Deutschland,,"Orangensaft, 26% Ingwersaft, 2,5% Kurkumasaft, Agavendicksaft",80 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
6,Dean & David Ingwershot Granatapfel Acai,"2,59€","mit Apfelsaft, Granatapfelsaft und Ingwersaft , dean&david smartfood GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59626-deandavid-dean-david-ingwershot-granatapfel-acai/,https://bilder.kolonial.no/local_products/f926020d-8466-4dc5-8da3-541d9b866730.jpg?auto=format&fit=max&w=356&s=aa725eff4dec759b49a3be920974a5f6,0 g,0.80 g,,11.40 g,13.50 g,0.20 g,1 g,260 kJ / 62 kcal,"dean&david smartfood GmbH, Lohenstraße 8, 82166 Gräfelfing, Deutschland",Deutschland,,"36% Apfelsaft, 35% Granatapfelsaft, 25% Ingwersaft, 3% Rote Beete Saft,1% Limettensaft, Acai Pulver 0,01%",80 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,siehe Deckel,,,,,,,,,,,,,,,,
7,Dean & David Ingwershot Spirulina,"2,59€","mit Apfelsaft, Ingwersaft und Blue Spirulin , dean&david smartfood GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59627-deandavid-dean-david-ingwershot-spirulina/,https://bilder.kolonial.no/local_products/20005d1d-0d1a-4ccf-8e5d-256cd9017ec7.jpg?auto=format&fit=max&w=356&s=56951c3dac54d65bb60895031fa201c2,0 g,0.40 g,,9.80 g,9.80 g,0 g,0.10 g,205 kJ / 49 kcal,"dean&david smartfood GmbH, Lohenstraße 8, 82166 Gräfelfing, Deutschland",Deutschland,,"73,5% Apfelsaft, 25% Ingwersaft, 1,5% Agavendicksaft, Blue Spirulina 0,01%, Ascorbinsäure",80 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,siehe Deckel,,,,,,,,,,,,,,,,
8,Innocent Orangesaft mit Fruchtfleisch,"3,69€","innocent Direktsaft Orangensaft mit Fruchtfleisch 1,35l , innocent Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/54405-innocent-innocent-orangesaft-mit-fruchtfleisch-ein/,https://bilder.kolonial.no/local_products/baed6dd2-73b9-4032-9bc6-e48b25774909.jpg?auto=format&fit=max&w=440&s=389c6288207bd064918756b061004081,0.01 g,0.80 g,0.90 g,7.80 g,7.80 g,0.10 g,0.50 g,152 kJ / 36 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 München, Deutschland",,"+ 0,25 €",Orangensaft (100%).,1350 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
9,Innocent Orangensaft mit Fruchtfleisch,"2,99€","innocent Orangensaft mit Fruchtfleisch 900ml , innocent Deutschland GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42684-innocent-innocent-orangensaft-mit-fruchtfleisch-ei/,https://bilder.kolonial.no/local_products/5fa3e04c-4a29-4da6-ab90-e33119a0b091.jpg?auto=format&fit=max&w=516&s=611f277174648c4c351993ef38e7434f,0.01 g,0.80 g,0.90 g,7.80 g,7.80 g,0.10 g,0.50 g,152 kJ / 36 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 München, Deutschland",,"+ 0,25 €",Orangensaft (100%).,900 Milliliter,täglich,Schnelle Küche,Frische Säfte & Smoothies,oda,,,,,,,,,,,,,,,,,,
