,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salz,Protein,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lieferant,Ursprungsregion,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Lagerung,Eigenschaften,Kann Spuren enthalten von ,Ballaststoffe,mehrfach ungesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Beschreibung,Ursprungsland,Natrium,Abtropfgewicht,Frischegarantie (mindestens),Variables Gewicht,Produktgewicht,Bruttogewicht,*,Size,Delivery days,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Gille anzeigen,Alkoholgehalt,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Dovgan anzeigen,
0,Flying Goose Sriracha Chilisauce extra scharf,"3,39€","Chilisauce, Sriracha sehr scharf , Kreyenhop + Kluge GmbH u. Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47358-flying-goose-flying-goose-sriracha-chilisauce-extr/,https://bilder.kolonial.no/local_products/4be4b835-3e81-4bf3-a942-64d933c8c9e1.jpg?auto=format&fit=max&w=384&s=a0f25037d5d70475091fa782d99c1cec,8.70 g,1.80 g,27 g,34 g,0.30 g,1.70 g,704 kJ / 167 kcal,"Kreyenhop + Kluge GmbH u. Co. KG, Industriestraße 40-42, 28876 Oyten, Deutschland",Thailand,"Chili (70%), Zucker, Wasser, Salz, Säuerungsmittel: Essigsäure (E260), Citronensäure (E330); Stabilisator: Xanthan (E415); Geschmacksverstärker: Mononatriumglutamat (E621); Konservierungsstoff: Kaliumsorbat (E202).",200 Milliliter,täglich,Internationale Vielfalt,Asiatisch,oda,,,,,,,,,,,,,,,,,,,,,
1,Flying Goose Sriracha Mayo Sauce,"3,75€","Chili-Mayo-Sauce, pikant. , Kreyenhop + Kluge GmbH u. Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47230-flying-goose-flying-goose-sriracha-mayo-sauce/,https://bilder.kolonial.no/local_products/db5eaf9d-59fe-4e85-bd5c-62e72a4c6f6c.jpg?auto=format&fit=max&w=348&s=da2d8c726f9cd22290ea7f53e6961f00,4.10 g,0.90 g,17 g,17 g,19 g,19 g,1170 kJ / 280 kcal,"Kreyenhop + Kluge GmbH u. Co. KG, Industriestraße 40-42, 28876 Oyten, Deutschland",,"Wasser, Chili (20%), SOJAÖL, Zucker, Branntweinessig, modifizierte Maisstärke, Salz, Verdickungsmittel: Xanthan (E415); Knoblauch, SENFSAMEN, Säuerungsmittel: Essigsäure (E260), Citronensäure (E330); Geschmacksverstärker: Mononatriumglutamat (E621); Konservierungsstoff: Kaliumsorbat (E202); Antioxidationsmittel: tert.-Butylhydrochinon (E319). ",200 Milliliter,täglich,Internationale Vielfalt,Asiatisch,oda,,,,,,,,,,,,,,,,,,,,,
2,BONASIA Süße Chilisauce,"1,75€","Süße Chilisauce , Kreyenhop + Kluge GmbH u. Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50738-bonasia-bonasia-susse-chilisauce/,https://bilder.kolonial.no/local_products/5d09c75a-f92b-4d7c-8489-3e37af20e1d9.jpg?auto=format&fit=max&w=290&s=a082767820196d4b04065786b99bbe30,2.90 g,0.50 g,38 g,38 g,0.10 g,0.50 g,677 kJ / 160 kcal,"Kreyenhop + Kluge GmbH u. Co. KG, Industriestraße 40-42, 28876 Oyten, Deutschland",Thailand,"Wasser, Zucker, rote Chili (23%), Knoblauch, Salz, modifizierte Maisstärke, Säuerungsmittel: Essigsäure (E260).",200 Milliliter,täglich,Internationale Vielfalt,Asiatisch,oda,,,,,,,,,,,,,,,,,,,,,
3,Nordic Seafood Bio Edamame gr. Sojabohnen geschält,"2,19€","Bio Edamame, grüne Sojabohnen, geschält, blanchiert, tiefgefroren , Nordic Season Products AS hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58193-nordic-seafood-nordic-seafood-bio-edamame-gr-sojab/,https://bilder.kolonial.no/local_products/a74844a8-baa5-4210-87cc-b95e33aa1836.jpg?auto=format&fit=max&w=691&s=d70720b1ca1f2b952a2b1546ddb35568,0 g,12 g,2.20 g,8.90 g,0.60 g,5.20 g,505 kJ / 121 kcal,Nordic Season Products AS,Dänemark,SOJABOHNEN. *aus kontrolliert ökologischer Erzeugung ,300 Gramm,täglich,Internationale Vielfalt,Asiatisch,oda,TiefkühlproduktBei -18 °C oder niedriger lagern. Nach dem Auftauen nicht wieder einfrieren.,Bio-Produkt,,,,,,,,,,,,,,,,,,,
4,bio-verde Bio Algen- Salat mit Sesam/Ingwer,"3,25€","Algen-Salat mit Sesam und Ingwer 100 g

unter Schutzatmosphäre verpackt , Isana Naturfeinkost GmbH & Co. Produktions- und Handels KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58723-bio-verde-bio-verde-bio-algen-salat-mit-sesam-ingw/,https://bilder.kolonial.no/local_products/ed6b5cfc-5c07-4279-bfd5-429d68911a9b.jpg?auto=format&fit=max&w=1000&s=6b2454820b72c54f954a3276d1219b61,2.80 g,2.90 g,10 g,10 g,1.30 g,8 g,572 kJ / 138 kcal,"Isana Naturfeinkost GmbH & Co. Produktions- und Handels KG, Gewerbering 22, D-86922 Eresing",Deutschland,"Algen**(39%), Karotten* (16%), Lauch* (11%), Sojasauce* (Wasser, SOJABOHNEN*, WEIZEN*, Meersalz, Koji (Fermentationskultur)), SESAM* (3%), SESAMÖL*(3%), konzentrierter Apfelsaft*, Meersalz, Agavendicksaft*, Ingwer* (<1%), Basilikum*, Branntweinessig*, Peperoni* *aus kontrolliert ökologischer Erzeugung ",100 Gramm,täglich,Internationale Vielfalt,Asiatisch,oda,KühlproduktMuss zwischen 0-4 °C gelagert werden.,Bio-Produkt,,,,,,,,,,,,,,,,,,,
5,bio-verde Bio Kimchi Das Original,"2,65€","Fermentierter Spitzkohl, vegan, klassisches Gericht aus der koreanischen Küche. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58724-bio-verde-bio-verde-bio-kimchi-das-original/,https://bilder.kolonial.no/local_products/d74ff14e-a411-4948-af88-406750952094.jpg?auto=format&fit=max&w=1000&s=5b62e9e29e1b3b0eaac936036f2a1373,2.10 g,1.40 g,4.30 g,4.60 g,0.50 g,0.50 g,135 kJ / 32 kcal,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",Deutschland,"61% Spitzkohl*, Zwiebel*, Paprika*, Ingwer*, Karotten*, 2% Knoblauch*, konzentrierter Apfelsaft*, Meersalz, Gewürze*, Gurke, Kurkuma*, Branntweinessig*.
* aus kontrolliert ökologischem Anbau",125 Gramm,täglich,Internationale Vielfalt,Asiatisch,oda,,Bio-Produkt,,,,,,,,,,,,,,,,,,,
6,BONASIA Sambal Oelek sehr scharf,"1,65€","Sambal Oelek sehr scharf , Kreyenhop + Kluge GmbH u. Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50739-bonasia-bonasia-sambal-oelek-sehr-scharf/,https://bilder.kolonial.no/local_products/b7f519ee-844b-4ccc-ac76-5c73630bb974.jpg?auto=format&fit=max&w=905&s=c6c6bdb2cd2bb8e0319031e07f4727e2,11.50 g,1.40 g,1 g,3.30 g,0.20 g,1.10 g,159 kJ / 38 kcal,"Kreyenhop + Kluge GmbH u. Co. KG, Industriestraße 40-42, 28876 Oyten, Deutschland",Niederlande,"rote Chilischoten (70%), Wasser, Salz, Säuerungsmittel: Essigsäure (E260); modifizierte Maisstärke, Konservierungsstoff: Kaliumsorbat (E202); Chiliextrakt.",200 Gramm,täglich,Internationale Vielfalt,Asiatisch,oda,,,,,,,,,,,,,,,,,,,,,
7,Real Thai Tom Yum Suppen Paste,"4,15€","Real Thai Tom Yum Suppen Paste 227g Glas , Thaitan Foods International Company Limited hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50064-real-thai-real-thai-tom-yum-suppen-paste/,https://bilder.kolonial.no/local_products/f36119cd-21b7-4670-a131-2f63f9fcd28a.jpg?auto=format&fit=max&w=1000&s=8e896bae65ad05fe4d614ae5e6e3d44a,9.30 g,4.50 g,10 g,20 g,2.90 g,18 g,1105 kJ / 266 kcal,"Thaitan Foods International Company Limited, 3369/1 Rama III Rd, Bang Khlo, Bang Kho Laem, Bangkok 10120, Thailand",Thailand,"Zitronengras (22%), Raffiniertes Sojaöl, Zucker, Schalotten, Galgant, getrocknete rote Chilli, Knoblauch, Tamarinde, Speisesalz, Säuerungsmittel: E 330, Geschmacksverstärker: E 621, Fisch Sauce (ANCHOVY, Speisesalz, Wasser), Shrimppaste (SHRIMPS, Speisesalz), Kaffirlimettenschale. ",1 Stück,täglich,Internationale Vielfalt,Asiatisch,oda,,,,,,,,,,,,,,,,,,,,,
8,Real Thai Rote Curry Paste,"3,99€","Real Thai rote Curry Paste 227g Glas , Thaitan Foods International Company Limited hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50066-real-thai-real-thai-rote-curry-paste/,https://bilder.kolonial.no/local_products/014e3af6-2281-441f-9455-9334a1b918b3.jpg?auto=format&fit=max&w=1000&s=04132b9d569d63ff25fb789ab8ac59f0,12.40 g,3.70 g,7.80 g,13 g,0.40 g,2.70 g,437 kJ / 104 kcal,"Thaitan Foods International Company Limited, 3369/1 Rama III Rd, Bang Khlo, Bang Kho Laem, Bangkok 10120, Thailand",Thailand,"Getrocknete rote Chilli (21%), Knoblauch, Zitronengras, Schalotten, Speisesalz, Galgant, Kaffirlimettenschale, Gewürze (Koriandersamen, Kreuzkümmelpulver).",227 Gramm,täglich,Internationale Vielfalt,Asiatisch,oda,,,,,,,,,,,,,,,,,,,,,
9,Real Thai Grüne Curry Paste,"3,99€","Real Thai grüne Curry Paste 227g Glas , Thaitan Foods International Company Limited hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/50065-real-thai-real-thai-grune-curry-paste/,https://bilder.kolonial.no/local_products/c13d1c69-8dba-457e-b614-525dbecf5666.jpg?auto=format&fit=max&w=1000&s=bf74e8b96f49fc43acffb749f2fd42c5,13.80 g,3.20 g,8.30 g,14 g,0.80 g,2.90 g,424 kJ / 101 kcal,"Thaitan Foods International Company Limited, 3369/1 Rama III Rd, Bang Khlo, Bang Kho Laem, Bangkok 10120, Thailand",Thailand,"Grüne Chilli (30%), Schalotten, Zitronengras, Speisesalz, Knoblauch, Galgant, Kaffirlimettenschalen, Gewürze (Kreuzkümmelpulver, Koriandersamen, Kurkuma).",227 Gramm,täglich,Internationale Vielfalt,Asiatisch,oda,,,,,,,,,,,,,,,,,,,,,
