,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salz,Protein,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lagerung,Eigenschaften,Lieferant,Kann Spuren enthalten von ,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Ursprungsregion,EInlage Currywurstscheiben,Bruttogewicht,Bundesland,Herkunftsland,Haltungsstufe,Frischegarantie (mindestens),Beschreibung,Variables Gewicht,Verbrauchshinweis,Verpackungshinweis,Besonderheit,davon Stärke,mehrfach ungesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,*,Ursprungsland,Ballaststoffe,davon Polyole,Informationen zum Angebot,*Haltungsstufe,Zubereitungshinweis,Zubereitungsempfehlung (gekühltes Produkt),Zubereitungsempfehlung,Abtropfgewicht,Natrium,Hinweis,Backofen,Grill,"Bratpfanne, Pfanne",Zubereitungsempfehlungen,Herkunftsland der Aquakultur/Binnenfischerei,Lateinischer Name,Inverkehrbringer,Verbraucherhinweise,Hinweis zur Frischegarantie
0,"Happy Foie - Ente mit Trüffel, bio","24,90€","Happy Foie ist die bio-zertifizierte Alternative zu konventioneller Foie Gras. Genuss auf Augenhöhe mit gutem Gewissen. Ohne Stopfen. Die Leber stammt von freilaufenden und glücklichen Tieren aus Freilandhaltung. Happy Foie wird in Deutschland entwickelt und mit viel Liebe hergestellt.

Jetzt auch erhältlich in der exklusiven Variante mit weißem Trüffel aus Italien (tuber magnatum pico).

Happy Foie lässt sich verarbeiten, zubereiten und genießen wie konventionelle Bloc Foie Gras. Unabhängige Blindverkostungen zeigen, dass der Geschmack, der Schmelz und die Konsistenz von einer konventionellen Bloc Foie Gras nicht zu unterscheiden ist. , Happy Foie, EthicLine GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58804-happy-foie-happy-foie-ente-mit-truffel-bio/,https://bilder.kolonial.no/local_products/17530b08-528a-4b20-90bc-8ae0d4148433.jpg?auto=format&fit=max&w=1000&s=d5720fac4606b4a68e9d9de7040fb040,2.50 g,9 g,3 g,3 g,26.80 g,44.10 g,1834 kJ / 438 kcal,KühlproduktMuss zwischen 0-8 °C gelagert werden.,Bio-Produkt,"Happy Foie, EthicLine GmbH, Berliner Straße 52e, D-38104 Braunschweig",Sellerie.,"Entenleber 40%*, BUTTER*, desodoriertes Kokosfett*, EI*, Entenfett*, Weinbrand*, Verdickungsmittel: Agar-Agar*, Salz, Zucker*, Geflügelfond*, Gewürze*, BUTTER* mit weißem Trüffel* (tuber magnatum pico), Konservierungsmittel: Natriumnitrit, Ascorbinsäure

*aus kontrolliert ökologischer Erzeugung ",130 Gramm,täglich,"Fleisch, Wurst & Fisch",Spezialitäten,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Happy Foie - Gans, bio","29,50€","Happy Foie ist die bio-zertifizierte Alternative zu konventioneller Foie Gras. Genuss auf Augenhöhe mit gutem Gewissen. Ohne Stopfen. Die Leber stammt von freilaufenden und glücklichen Tieren aus Freilandhaltung. Happy Foie wird in Deutschland entwickelt und mit viel Liebe hergestellt. Happy Foie lässt sich verarbeiten, zubereiten und genießen wie konventionelle Bloc Foie Gras. , Happy Foie, EthicLine GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58805-happy-foie-happy-foie-gans-bio/,https://bilder.kolonial.no/local_products/aacb4646-3489-4ac4-b0af-8f808a3a71f5.jpg?auto=format&fit=max&w=1000&s=7a1a2a7ebbe93d58a2bbca6b77a14245,2.50 g,9 g,3 g,3 g,26.80 g,44.10 g,1834 kJ / 438 kcal,KühlproduktMuss zwischen 0-8 °C gelagert werden.,Bio-Produkt,"Happy Foie, EthicLine GmbH, Berliner Straße 52e, D-38104 Braunschweig",Sellerie.,"Gänseleber 40%*, BUTTER*, desodoriertes Kokosfett*, EI*, Gänsefett*, Weinbrand*, Verdickungsmittel: Agar-Agar*, Salz, Zucker*, Geflügelfond*, Gewürze*, Konservierungsmittel: Natriumnitrit, Ascorbinsäure. *aus kontrolliert ökologischer Erzeugung ",130 Gramm,täglich,"Fleisch, Wurst & Fisch",Spezialitäten,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Happy Foie - Ente, bio","14,99€","Wir stellen Happy Foie aus der Leber von biozertifizierten und gesunden Tieren her. Die cremig-zartschmelzende Konsistenz der Happy Foie bietet dir außerordentlichen Genuss und gleichzeitig ein gutes Gewissen.

Die Tiere, deren Leber wir in unserem eigens dafür entwickelten Herstellungsverfahren verarbeiten, haben gesund und freilaufend gelebt und stammen nicht aus Massentierhaltung oder wurden zwangsernährt! Happy Foie steht für kulinarischen Genuss auf Augenhöhe mit gutem Gewissen – ohne Stopfen!

Unsere Happy Foie ist die Alternative zu Foie Gras und lässt sich genauso verarbeiten, zubereiten und genießen wie eine konventionelle Bloc Foie Gras. Probiere unsere Rezepte mit Happy Foie aus. Egal ob als ein Gang in deinem Festmahl, in Form von Pralinen zum Salat oder als Taler auf einem guten Steak. Happy Foie ist überall einsetzbar. , Happy Foie, EthicLine GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58806-happy-foie-happy-foie-ente-bio/,https://bilder.kolonial.no/local_products/3e5c0d80-0cc1-4a9f-ae5f-cdce61263a01.jpg?auto=format&fit=max&w=1000&s=3a5913bc42af2d784000a24a11829e70,2.50 g,9 g,3 g,3 g,26.80 g,44.10 g,1834.70 kJ / 438.50 kcal,KühlproduktMuss zwischen 0-8 °C gelagert werden.,Bio-Produkt,"Happy Foie, EthicLine GmbH, Berliner Straße 52e, D-38104 Braunschweig",Sellerie.,"Entenleber 40%*, BUTTER*, desodoriertes Kokosfett*, EI*, Entenfett*, Weinbrand*, Agar-Agar*, Salz, Rohrzucker*, Hühnerbouillon*, Gewürze* Konservierungsmittel: Natriumnitrit, Ascorbinsäure
*aus kontrolliert biologischem Anbau ",130 Gramm,täglich,"Fleisch, Wurst & Fisch",Spezialitäten,oda,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Happy Foie - Geflügel, bio","14,99€","Wir stellen Happy Foie aus der Leber von biozertifizierten und gesunden Tieren her. Die cremig-zartschmelzende Konsistenz der Happy Foie bietet dir außerordentlichen Genuss und gleichzeitig ein gutes Gewissen.

Die Tiere, deren Leber wir in unserem eigens dafür entwickelten Herstellungsverfahren verarbeiten, haben gesund und freilaufend gelebt und stammen nicht aus Massentierhaltung oder wurden zwangsernährt! Happy Foie steht für kulinarischen Genuss auf Augenhöhe mit gutem Gewissen – ohne Stopfen!

Unsere Happy Foie ist die Alternative zu Foie Gras und lässt sich genauso verarbeiten, zubereiten und genießen wie eine konventionelle Bloc Foie Gras. Probiere unsere Rezepte mit Happy Foie aus. Egal ob als ein Gang in deinem Festmahl, in Form von Pralinen zum Salat oder als Taler auf einem guten Steak. Happy Foie ist überall einsetzbar. , Happy Foie, EthicLine GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58807-happy-foie-happy-foie-geflugel-bio/,https://bilder.kolonial.no/local_products/2fa862af-46f0-4ab0-b392-ef7e2940e0d8.jpg?auto=format&fit=max&w=1000&s=4b709df18b1e2d881a48029af4c8541d,2.50 g,9 g,3 g,3 g,26.80 g,44.10 g,1834 kJ / 438 kcal,KühlproduktMuss zwischen 0-8 °C gelagert werden.,Bio-Produkt,"Happy Foie, EthicLine GmbH, Berliner Straße 52e, D-38104 Braunschweig",Sellerie.,"Geflügelleber 40%*, BUTTER*, desodoriertes Kokosfett*, EI*, Geflügelfett*, Weinbrand*, Agar-Agar*, Salz, Rohrzucker*, Hühnerbouillon*, Gewürze* Konservierungsmittel: Natriumnitrit, Ascorbinsäure
*aus kontrolliert biologischem Anbau ",130 Gramm,täglich,"Fleisch, Wurst & Fisch",Spezialitäten,oda,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Happy Foie - Freilandgans,"42,80€","Happy Foie ist die „ungestopfte“ Alternative zu konventioneller Foie Gras. Kulinarischer Genuss auf
Augenhöhe – ohne Stopfen und dafür mit gutem Gewissen. Die Leber stammt von freilaufenden
Tieren aus artgerechter Haltung von unseren ausgewählten Partner-Höfen. Happy Foie lässt sich
verarbeiten, zubereiten und genießen wie konventionelle Bloc Foie Gras. Unabhängige
Blindverkostungen zeigen, dass der Geschmack, der Schmelz und die Konsistenz von einer
konventionellen Bloc Foie Gras nicht zu unterscheiden ist. , Happy Foie, EthicLine GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58809-happy-foie-happy-foie-freilandgans/,https://bilder.kolonial.no/local_products/b6c555f2-4de9-435d-a766-b48d864b12b7.jpg?auto=format&fit=max&w=1000&s=80bf7adf7c8c09fa4ec3a4601d6e31c9,2.50 g,9 g,3 g,3 g,26.80 g,44.10 g,1834 kJ / 438 kcal,KühlproduktMuss zwischen 0-8 °C gelagert werden.,,"Happy Foie, EthicLine GmbH, Berliner Straße 52e, D-38104 Braunschweig",Sellerie.,"Gänseleber 40%, BUTTER, desodoriertes Kokosfett, EI, Gänsefett, Weinbrand, Verdickungsmittel:
Agar-Agar, Salz, Rohrzucker, Hühnerbouillon, Gewürze, Konservierungsmittel: Natriumnitrit,
Ascorbinsäure ",250 Gramm,täglich,"Fleisch, Wurst & Fisch",Spezialitäten,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Happy Foie - Ente, Bio","24,99€","Happy Foie ist die bio-zertifizierte Alternative zu konventioneller Foie Gras. Genuss auf Augenhöhe mit gutem Gewissen. Ohne Stopfen. Die Leber stammt von freilaufenden und glücklichen Tieren aus Freilandhaltung. Happy Foie wird in Deutschland entwickelt und mit viel Liebe hergestellt. Happy Foie lässt sich verarbeiten, zubereiten und genießen wie konventionelle Bloc Foie Gras. , Happy Foie, EthicLine GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58840-happy-foie-happy-foie-ente-bio/,https://bilder.kolonial.no/local_products/4fd9a5cd-8dbe-4bce-942e-f7d8759070fb.jpg?auto=format&fit=max&w=1000&s=ebce3a17edd6fd2d7bd80916a7c2ae4e,2.50 g,9 g,3 g,3 g,,26.80 g,1834 kJ / 438 kcal,KühlproduktMuss zwischen 0-8 °C gelagert werden.,Bio-Produkt,"Happy Foie, EthicLine GmbH, Berliner Straße 52e, D-38104 Braunschweig",Sellerie.,"Entenleber 40%*, BUTTER*, desodoriertes Kokosfett*, EI*, Entenfett*, Weinbrand*, Verdickungsmittel: Agar-Agar*, Salz, Zucker*, Geflügelfond*, Gewürze*, Konservierungsmittel: Natriumnitrit, Ascorbinsäure. 

*aus kontrolliert ökologischer Erzeugung ",250 Gramm,täglich,"Fleisch, Wurst & Fisch",Spezialitäten,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Meica Curryking Currywurst Fix & Fertig,"2,59€","CURRYKING 220 , Meica GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44709-meica-meica-curryking-currywurst-fix-fertig/,https://bilder.kolonial.no/local_products/5d9c45eb-32d0-4ac4-ab71-75bd3547fdf0.jpg?auto=format&fit=max&w=1000&s=b99cd5e706fc62c8c49f4e98621e957a,1.60 g,8 g,12 g,12 g,5.50 g,15 g,895 kJ / 215 kcal,,,"Meica GmbH & Co. KG, Meicastraße 6, 26188 Edewecht, Deutschland","Milch, Senf.","55 % Bockwurst [Schweinefleisch, Trinkwasser, Speck, Speisesalz, Gewürze, Gewürzextrakte (mit SELLERIE), Dextrose, Antioxidationsmittel: Ascorbinsäure, Konservierungsstoff: Natriumnitrit, Rauch], Curry-Sauce [Trinkwasser, Tomatenmark, Zucker, Branntweinessig, Apfelmark, modifizierte Stärke, Salz, Gewürze, Verdickungsmittel: Guarkernmehl, Johannisbrotkernmehl], Currypulver (extra Tütchen). Kann Spuren von MILCHEIWEIß, SENF enthalten ",120 Gramm,täglich,"Fleisch, Wurst & Fisch",Fleisch & Fleischalternativen,oda,Deutschland,120g,220g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Schweine Hackfleisch aus Brandenburg,"3,59€","Regional geschlachtet - kürzeste Transportwege!
Wir garantieren, das Schweine aus unserem Programm “Original Brandenburg” auch in der Region geschlachtet
werden. Die Transportwege vom landwirtschaftlichen Betrieb zur Schlachtung liegen garantiert unter 200 Kilometern.
Der Prozess Fleischqualität wird im Schlachtbetrieb unseres Vertragspartners VION in Perleberg von der Entladung, dem Zutrieb, der Betäubung und dem Schlacht - und Kühlprozess hervorragend beherrscht.

Das Ziel: Kreislaufwirtschaft!
80 Prozent der Anteile an Futtermitteln werden auf den eigenen Ackerflächen oder in der direkten Nachbarschaft erzeugt.
Unsere Partnerbetriebe haben einen Tierbesatz von maximal 2 GV pro Hektar und erfüllen damit die Anforderungen aus
dem Klimaschutzplan Deutschlands.
Die Verwertung der Dungreste auf den eigenen Ackerflächen als Nährstoffe für die Feldfrüchte stellt die gewünschte Kreislaufwirtschaft sicher. Zukünftig soll auf Importsoja verzichtet werden.

Damit sind nicht nur qualitative Aspekte für den Tiertransport und die Produktfrische abbildbar. Vielmehr findet eine deutliche
Verbesserung des CO2 – Fußabdruckes statt. Die Nutzung regenerativer Energien am Standort Britz ergänzt die 
 umweltbewusste Ausrichtung des Konzeptes Eberswalder - Original Brandenburg. , EFG Eberswalder Fleisch GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56476-original-brandenburg-schweine-hackfleisch-aus-bran/,https://bilder.kolonial.no/local_products/bb3dff8c-2a82-4e43-9661-370b6d5a3bbd.jpg?auto=format&fit=max&w=1000&s=d19769fab6d1b8d9915c4f4e54f35ce6,0.15 g,18 g,,,7.20 g,18 g,972 kJ / 234 kcal,KühlproduktMuss zwischen 0-2 °C gelagert werden.,,EFG Eberswalder Fleisch GmbH,,100% Schweinefleisch aus Brandenburg.,500 Gramm,täglich,"Fleisch, Wurst & Fisch",Fleisch & Fleischalternativen,oda,,,,Brandenburg,Deutschland,"Stufe ② Stallhaltung Plus: Mit dem blauen Label der Stufe 2 wird Fleisch gekennzeichnet, das aus einer Haltung stammt, die über die gesetzlichen Standards hinausgeht – darunter fällt auch das Fleisch aus Betrieben der Initiative Tierwohl. Das bedeutet, Tiere haben mindestens zehn Prozent mehr Platz im Stall als gesetzlich vorgeschrieben und es steht ihnen zusätzliches Beschäftigungsmaterial, wie z.B. Picksteine oder Stroh zur Verfügung.",2 Tage,"Bei diesem Artikel ist die Lieferkette vom Ferkel über die Mast, die Schlachtung, die Zerlegung, Veredelung, Verpackung und
Auslieferung in einem Radius um Berlin von rund 200 Kilometern abgebildet. So kommt das Fleisch zu 100% aus Brandenburg.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bio Rinder Entrecote,"13,80€","Entrecôte vom Rind.

Verpackungshinweis: Der Artikel wurde Vakuumverpackt.
Verbrauchshinweis: Vor dem Verzehr vollständig durcherhitzen. Dieses Fleisch ist nicht zum Rohverzehr geeignet. Nach Öffnung der Packung ist die Ware am selben Tag zu verwenden. , Biomanufaktur Havelland hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59591-biomanufaktur-havelland-bio-rinder-entrecote-1-sch/,https://bilder.kolonial.no/local_products/2b7fd19d-e254-43c3-b712-b4a3c5d1289f.jpg?auto=format&fit=max&w=1000&s=0735f342c46857be14dd47ae4cc3c8b0,,,,,,,,KühlproduktMuss zwischen 1-7 °C gelagert werden.,Bio-Produkt,"Biomanufaktur Havelland, Havelring 17, 16727 Velten, Deutschland","Gluten, Eier, Sojabohnen, Milch, Nüssen, Sellerie, Senf, Schwefeldioxid.",Rinder Entrecote ,ca. 250 Gramm,täglich,"Fleisch, Wurst & Fisch",Fleisch & Fleischalternativen,oda,Deutschland,,,,,,3 Tage,"BIO WIE ES SEIN SOLL
Für uns ist Fleisch keine Ware, sondern reine Herzenssache.

Genuss, aber mit Verantwortung: mit der Natur und mit Handwerkskultur. Vorbildliche Bauern. Raffinierte Rezepturen. Über 350 Spezialitäten – in Bio-Spitzenqualität. Für alle, die Wert auf wirklich guten Geschmack legen.","Dieses Produkt kann in Gewicht und Größe leicht variieren. Der Preis wird dem tatsächlichen Gewicht am Tag der Lieferung angepasst. Wir stellen sicher, dass die Abweichung so gering wie möglich gehalten wird.",,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Bio Rinder Rumpsteak,"16,15€","Rumpsteak, geschnitten.

Verpackungshinweis: Der Artikel wurde Vakuumverpackt.
Verbrauchshinweis: Vor dem Verzehr vollständig durcherhitzen. Dieses Fleisch ist nicht zum Rohverzehr geeignet. Nach Öffnung der Packung ist die Ware am selben Tag zu verwenden. , Biomanufaktur Havelland hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/59595-biomanufaktur-havelland-bio-rinder-rumpsteak-1-sch/,https://bilder.kolonial.no/local_products/691efabf-2072-40b8-a531-6e06381bb810.jpg?auto=format&fit=max&w=736&s=1a5943f6d6573e773a4c59bc9b638a1c,,,,,,,,KühlproduktMuss zwischen 1-7 °C gelagert werden.,Bio-Produkt,"Biomanufaktur Havelland, Havelring 17, 16727 Velten, Deutschland","Gluten, Eier, Sojabohnen, Milch, Nüssen, Sellerie, Senf, Schwefeldioxid.",Rinder Rumpsteak ,ca. 250 Gramm,täglich,"Fleisch, Wurst & Fisch",Fleisch & Fleischalternativen,oda,Deutschland,,,,,,3 Tage,"BIO WIE ES SEIN SOLL. Dafür steht die Biomanufaktur Havelland.
Für uns ist Fleisch keine Ware, sondern reine Herzenssache.

Genuss, aber mit Verantwortung: mit der Natur und mit Handwerkskultur. Vorbildliche Bauern. Raffinierte Rezepturen. Über 350 Spezialitäten – in Bio-Spitzenqualität. Für alle, die Wert auf wirklich guten Geschmack legen.","Dieses Produkt kann in Gewicht und Größe leicht variieren. Der Preis wird dem tatsächlichen Gewicht am Tag der Lieferung angepasst. Wir stellen sicher, dass die Abweichung so gering wie möglich gehalten wird.",,,,,,,,,,,,,,,,,,,,,,,,,,,
