,PROD_NAME,PROD_PRICE,PROD_ITEM,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Mögliche Lieferzeiten,Inhalt,Handelsklasse,Ursprungsland,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Eigenschaften,Lieferant,Region,Ursprungsregion,Qualität,Sorte,Beschreibung,Handelsmarke,Urprungsland,Handelklasse,Mix,Zutaten/Inhaltsstoffe,,Brennwert,Fett,davon gesättigte Fettsäuren,Kohlenhydrate,Zucker,Protein,Frischegarantie (mindestens),Ballaststoffe,Kann Spuren enthalten von 
0,Avocados Hass angereift,"1,39€",Avocado,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54119-avocados-hass-angereift-mind-160g/,https://bilder.kolonial.no/local_products/6d5bc233-44c9-4655-ac93-5e362cc89e19.jpg?auto=format&fit=max&w=1000&s=937a5384ca9b473a52341ffc75b594c4,täglich,1 Stück,I,"Dominikanische Republik, Spanien oder Mexiko.",Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
1,"Trauben hell, kernlos","1,99€",Trauben,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55538-trauben-hell-kernlos/,https://bilder.kolonial.no/local_products/09119ace-4018-42df-a503-d080b7ef26d4.jpg?auto=format&fit=max&w=1000&s=0c8cbda1bee16d2e1eaa548cd344718a,täglich,500 Gramm,I,Südafrika oder Brasilien,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
2,Orangen,"2,69€",Zitrusfrüchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55541-orangen/,https://bilder.kolonial.no/local_products/fb32a66f-a9be-4cec-ad27-3eb459d8ddf5.jpg?auto=format&fit=max&w=1000&s=a494cf02f583934953ecb703338a29ca,täglich,2 Kilogramm,I,Spanien,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
3,Apfel Pink Lady,"2,69€",Äpfel,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56138-apfel-pink-lady-6-stuck/,https://bilder.kolonial.no/local_products/011b80f8-2ab2-414a-bcb3-6387e62ead0e.jpg?auto=format&fit=max&w=689&s=ec3e80b9e9f96dd83020f501751bc4b9,täglich,900 Gramm,I,Frankreich,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
4,Mango,"1,39€",Mango,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56432-mango/,https://bilder.kolonial.no/local_products/3427c62b-0966-4eb4-bc3f-d79255c1269f.jpg?auto=format&fit=max&w=1000&s=ac15dcb3516d1f41908d3c13c7116640,täglich,1 Stück,I,"Peru, Brasilien, Elfenbeinküste, Dominikanische Republik, Senegal, Israel",Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
5,Papaya Golden,"3,19€",Exotische Früchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/19687-papaya-golden-mind-350g/,https://bilder.kolonial.no/local_products/dc3b8283-0e7a-418c-bee3-0f2bcd78eb6f.jpg?auto=format&fit=max&w=1000&s=ff204f8ae1120c2f821266498dbd4ffb,täglich,1 Stück,I,Brasilien,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
6,Avocados Hass angereift groß,"1,59€",Avocado,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/54118-avocados-hass-angereift-gross-mind-200g/,https://bilder.kolonial.no/local_products/e8a0dc13-bf18-4942-8088-c4fd9fb1ab20.jpg?auto=format&fit=max&w=1000&s=f7e9c4b8b0264aab58471156a763736a,täglich,1 Stück,I,"Spanien, Dominikanische Republik, Mexiko",Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
7,"Trauben dunkel, kernlos","1,99€",Trauben,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55294-trauben-dunkel-kernlos/,https://bilder.kolonial.no/local_products/1f950c22-02ea-4a18-98e7-42c82899ac27.jpg?auto=format&fit=max&w=1000&s=eea71129f237d1ad21effb683be89c77,täglich,500 Gramm,I,"Spanien, Italien, Brasilien, Südafrika, Indien oder Ägypten",Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
8,Orangen,"2,09€",Zitrusfrüchte,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/55540-orangen/,https://bilder.kolonial.no/local_products/cf6caa98-8510-4618-81d5-6f67832ada7a.jpg?auto=format&fit=max&w=1000&s=2d77660805796ed4b4aaa2b829081ee4,täglich,"1,50 Kilogramm",I,Spanien,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
9,Apfel Granny Smith,"2,49€",Äpfel,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/56139-apfel-granny-smith-6-stuck/,https://bilder.kolonial.no/local_products/2250540c-bbad-49f1-b0b8-ed5e00543bb7.jpg?auto=format&fit=max&w=991&s=4a5a329b1599605ca63f10615bfda2ce,täglich,900 Gramm,I,Frankreich,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
10,Bananen,"1,49€",Bananen,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/61506-bananen/,https://bilder.kolonial.no/local_products/b6523c8e-09db-4e13-9eac-cda3e5780f52.jpg?auto=format&fit=max&w=849&s=dbd44a15022d28d061ef5e882cab127d,täglich,5 Stück,,,Obst & Gemüse,Obst,oda,,,,,,,,,,,,,,,,,,,,,,
11,Bio Avocados Hass angereift,"1,69€",Avocado,Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.,https://oda.com//de/products/52337-bio-avocados-hass-angereift-mind-160g/,https://bilder.kolonial.no/local_products/35c65bc5-2a2b-4ac4-8fbd-b00b26e9381b.jpg?auto=format&fit=max&w=1000&s=f0cea2828b0d5e43540c778353a84601,täglich,1 Stück,I,"Spanien, Marokko, Dominikanische Republik oder Mexiko.",Obst & Gemüse,Obst,oda,Bio-Produkt,,,,,,,,,,,,,,,,,,,,,
