0,Unnamed: 0,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,Protein,fiber,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,supplier,Region of origin,deposit,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Freshness guarantee (minimum),Refrigerated (+2 to +7°C) best before,Characteristics,Country of origin,Information about the offer,storage,May contain traces of,drained weight,of it strength,Description,Note on the freshness guarantee,Monounsaturated fatty acids,Insert currywurst slices,gross weight,"Store at room temperature protected from light. After opening, store in a cool place (max. +7°C) and use up within 2 days. Best before",Notice,thereof polyols,Polyunsaturated fatty acids
0,0,Innocent orange juice without pulp,"2,99€","innocent orange juice without pulp 900ml , innocent Deutschland GmbH provided the above information.",https://oda.com//de/products/44085-innocent-innocent-orangensaft-ohne-fruchtfleisch-e/,https://bilder.kolonial.no/local_products/5d637b19-92f4-45af-afd5-d89937c3ec00.jpg?auto=format&fit=max&w=1000&s=c57faaff3fcc2d11c3f917d0a690754e,0.01 g,0.70 g,0.70 g,7.80 g,7.80 g,0.10 g,0.50 g,149 kJ / 35 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 Munich, Germany",in,"+ 0,25 €",Orange Juice (100%).,900 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
1,1,"Innocent Juice Plus ""Blue Break""","3,29€","innocent Blue Break 750ml , innocent Deutschland GmbH provided the above information.",https://oda.com//de/products/54311-innocent-innocent-juice-plus-blue-break/,https://bilder.kolonial.no/local_products/12b7276b-735b-43b6-a1f5-db0c720c35fb.jpg?auto=format&fit=max&w=1000&s=fcab20125644ada1c721a432bf5f4ccb,0.01 g,0.50 g,in,9.30 g,10 g,0.10 g,0.50 g,172 kJ / 41 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 Munich, Germany",in,in,"Apple juice (66%), coconut juice (18%), white grape juice, white guava puree (5.2%), passion fruit puree, lime juice, spirulina extract (0.81%) and vitamins (vitamin B1, B2, B3, B6, C , E).",750 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,6 Roofs,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
2,2,Dean & David Green Guru Saft,"3,69€","with orange juice, apple juice and celery juice, dean&david smartfood GmbH has provided the above information.",https://oda.com//de/products/59622-deandavid-dean-david-green-guru-saft-einweg/,https://bilder.kolonial.no/local_products/d598547c-42f5-4704-b5f1-25c032af5a95.jpg?auto=format&fit=max&w=450&s=919eed593dea06bf270c7ac655988d1d,0 g,0.54 g,in,7.30 g,8.40 g,0 g,0 g,163 kJ / 38 kcal,"dean&david smartfood GmbH, Lohenstrasse 8, 82166 Graefelfing, Germany",Deutschland,"+ 0,25 €","Ingredients: orange juice 35.5%, apple juice 34%, celery juice 20%, spinach juice 8%, ginger juice 1.5%, lemon juice 1%, wheatgrass powder 0.02%, ascorbic acid",330 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
3,3,Dean & David Berry Love Saft,"3,69€","with orange juice, pineapple juice and strawberry juice, dean&david smartfood GmbH has provided the above information.",https://oda.com//de/products/59623-deandavid-dean-david-berry-love-saft-einweg/,https://bilder.kolonial.no/local_products/b5836a6f-afbc-4e50-8f0a-eb2b52ed1de1.jpg?auto=format&fit=max&w=223&s=2eb5cabfdb4b29106c609eae4c8e2786,0 g,0.60 g,in,10.20 g,10.20 g,0 g,0 g,208 kJ / 50 kcal,"dean&david smartfood GmbH, Lohenstrasse 8, 82166 Graefelfing, Germany",Deutschland,"+ 0,25 €","Ingredients: orange juice 41%, pineapple juice 41%, strawberry juice 16%, beetroot juice 2%, açaí 0.01%, ascorbic acid",330 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
4,4,Dean & David Refresh Saft,"3,69€","with pineapple juice, apple juice and coconut water, dean&david smartfood GmbH has provided the above information.",https://oda.com//de/products/59624-deandavid-dean-david-refresh-saft-einweg/,https://bilder.kolonial.no/local_products/2aa7fc60-637c-4946-8e27-ca9cccd307f8.jpg?auto=format&fit=max&w=449&s=3c14975e7868b2c1718209ee28eb6329,0 g,0.30 g,in,9.90 g,10.50 g,0 g,0 g,187 kJ / 44 kcal,"dean&david smartfood GmbH, Lohenstrasse 8, 82166 Graefelfing, Germany",Deutschland,"+ 0,25 €","Ingredients: pineapple juice 50%, apple juice 43.7%, coconut water 5%, lime juice 1%, lemongrass juice 0.3%, ascorbic acid",330 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
5,5,Dean & David Ginger Shot Turmeric,"2,59€","with orange juice, ginger juice and turmeric juice, dean&david smartfood GmbH has provided the above information.",https://oda.com//de/products/59625-deandavid-dean-david-ingwershot-kurkuma/,https://bilder.kolonial.no/local_products/17d44261-6905-4e86-af5b-7fb1cf2e7a94.jpg?auto=format&fit=max&w=341&s=da5e7ff3e2820f4eccf75a7b9f93ac77,-0.02 g,0.86 g,in,8.43 g,8.54 g,0.09 g,0 g,172 kJ / 41 kcal,"dean&david smartfood GmbH, Lohenstrasse 8, 82166 Graefelfing, Germany",Deutschland,in,"Orange juice, 26% ginger juice, 2.5% turmeric juice, agave syrup",80 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
6,6,Dean & David Ginger Shot Pomegranate Acai,"2,59€","with apple juice, pomegranate juice and ginger juice, dean&david smartfood GmbH has provided the above information.",https://oda.com//de/products/59626-deandavid-dean-david-ingwershot-granatapfel-acai/,https://bilder.kolonial.no/local_products/f926020d-8466-4dc5-8da3-541d9b866730.jpg?auto=format&fit=max&w=356&s=aa725eff4dec759b49a3be920974a5f6,0 g,0.80 g,in,11.40 g,13.50 g,0.20 g,1 g,260 kJ / 62 kcal,"dean&david smartfood GmbH, Lohenstrasse 8, 82166 Graefelfing, Germany",Deutschland,in,"36% apple juice, 35% pomegranate juice, 25% ginger juice, 3% beetroot juice, 1% lime juice, acai powder 0.01%",80 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,See cover,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
7,7,Dean & David Ingwershot Spirulina,"2,59€","with apple juice, ginger juice and blue spirulin, dean&david smartfood GmbH has provided the above information.",https://oda.com//de/products/59627-deandavid-dean-david-ingwershot-spirulina/,https://bilder.kolonial.no/local_products/20005d1d-0d1a-4ccf-8e5d-256cd9017ec7.jpg?auto=format&fit=max&w=356&s=56951c3dac54d65bb60895031fa201c2,0 g,0.40 g,in,9.80 g,9.80 g,0 g,0.10 g,205 kJ / 49 kcal,"dean&david smartfood GmbH, Lohenstrasse 8, 82166 Graefelfing, Germany",Deutschland,in,"73.5% apple juice, 25% ginger juice, 1.5% agave syrup, blue spirulina 0.01%, ascorbic acid",80 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,See cover,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
8,8,Innocent orange juice with pulp,"3,69€","innocent Direct Juice Orange Juice with Pulp 1.35l , innocent Deutschland GmbH has provided the above information.",https://oda.com//de/products/54405-innocent-innocent-orangesaft-mit-fruchtfleisch-ein/,https://bilder.kolonial.no/local_products/baed6dd2-73b9-4032-9bc6-e48b25774909.jpg?auto=format&fit=max&w=440&s=389c6288207bd064918756b061004081,0.01 g,0.80 g,0.90 g,7.80 g,7.80 g,0.10 g,0.50 g,152 kJ / 36 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 Munich, Germany",in,"+ 0,25 €",Orange Juice (100%).,1350 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
9,9,Innocent orange juice with pulp,"2,99€","innocent Orange Juice with Pulp 900ml , innocent Deutschland GmbH provided the above information.",https://oda.com//de/products/42684-innocent-innocent-orangensaft-mit-fruchtfleisch-ei/,https://bilder.kolonial.no/local_products/5fa3e04c-4a29-4da6-ab90-e33119a0b091.jpg?auto=format&fit=max&w=516&s=611f277174648c4c351993ef38e7434f,0.01 g,0.80 g,0.90 g,7.80 g,7.80 g,0.10 g,0.50 g,152 kJ / 36 kcal,"innocent Deutschland GmbH, Oskar-von-Miller-Ring 20, D-80333 Munich, Germany",in,"+ 0,25 €",Orange Juice (100%).,900 Milliliter,daily,Fast kitchen,Fresh juices and smoothies,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
