,Unnamed: 0.1,Unnamed: 0,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Unnamed: 6,country of origin,commercial class,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Country of origin,Trade class,Contents,Possible delivery times,Weight,Characteristics,supplier,Information about the offer,region,supplier,Region of origin,region of origin,variety,Quality,Description,trademark,trade class,mixing,Characteristics,Salt,protein,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,Ingredients/Ingredients,Freshness guarantee (minimum),Salt,Protein,fiber,Zucker,carbohydrates,hereof: saturated fatty acids,Fett,calorific value,Ingredients/Ingredients,Freshness guarantee (minimum),fiber,Information about the offer,May contain traces of,May contain traces of
0,0,0,Avocados Hass matured,€1.39," , No detailed information was provided about this product.",https://oda.com//de/products/54119-avocados-hass-angereift-mind-160g/,https://bilder.kolonial.no/local_products/6d5bc233-44c9-4655-ac93-5e362cc89e19.jpg?auto=format&fit=max&w=1000&s=937a5384ca9b473a52341ffc75b594c4,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.","Dominican Republic, Spain or Mexico.",I,1 piece,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,"Grapes light, seedless",€1.99," , No detailed information was provided about this product.",https://oda.com//de/products/55538-trauben-hell-kernlos/,https://bilder.kolonial.no/local_products/09119ace-4018-42df-a503-d080b7ef26d4.jpg?auto=format&fit=max&w=1000&s=0c8cbda1bee16d2e1eaa548cd344718a,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",South Africa or Brazil,I,500 grams,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,oranges,€2.69," , No detailed information was provided about this product.",https://oda.com//de/products/55541-orangen/,https://bilder.kolonial.no/local_products/fb32a66f-a9be-4cec-ad27-3eb459d8ddf5.jpg?auto=format&fit=max&w=1000&s=a494cf02f583934953ecb703338a29ca,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Spain,I,2 kilograms,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,apple pink lady,€2.69," , No detailed information was provided about this product.",https://oda.com//de/products/56138-apfel-pink-lady-6-stuck/,https://bilder.kolonial.no/local_products/011b80f8-2ab2-414a-bcb3-6387e62ead0e.jpg?auto=format&fit=max&w=689&s=ec3e80b9e9f96dd83020f501751bc4b9,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",France,I,900 grams,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,mango,€1.39," , No detailed information was provided about this product.",https://oda.com//de/products/56432-mango/,https://bilder.kolonial.no/local_products/3427c62b-0966-4eb4-bc3f-d79255c1269f.jpg?auto=format&fit=max&w=1000&s=ac15dcb3516d1f41908d3c13c7116640,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.","Peru, Brazil, Ivory Coast, Dominican Republic, Senegal, Israel",I,1 piece,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,Golden Papaya,€3.19," , No detailed information was provided about this product.",https://oda.com//de/products/19687-papaya-golden-mind-350g/,https://bilder.kolonial.no/local_products/dc3b8283-0e7a-418c-bee3-0f2bcd78eb6f.jpg?auto=format&fit=max&w=1000&s=ff204f8ae1120c2f821266498dbd4ffb,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Brazil,I,1 piece,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,Avocados Hass matured large,€1.59," , No detailed information was provided about this product.",https://oda.com//de/products/54118-avocados-hass-angereift-gross-mind-200g/,https://bilder.kolonial.no/local_products/e8a0dc13-bf18-4942-8088-c4fd9fb1ab20.jpg?auto=format&fit=max&w=1000&s=f7e9c4b8b0264aab58471156a763736a,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.","Spain, Dominican Republic, Mexico",I,1 piece,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,"Trauben dunkel, kernlos","1,99€"," , Es wurden keine detaillierten Informationen zu diesem Produkt zur Verfügung gestellt.",https://oda.com//de/products/55294-trauben-dunkel-kernlos/,https://bilder.kolonial.no/local_products/1f950c22-02ea-4a18-98e7-42c82899ac27.jpg?auto=format&fit=max&w=1000&s=eea71129f237d1ad21effb683be89c77,"Für die Angaben wird keine Haftung übernommen. Bitte beachten Sie die Angaben auf der jeweiligen Produktverpackung, nur diese sind verbindlich. Das Produktdesign kann von der Abbildung abweichen.",,,,,Fruit Vegetable,Fruit,oda,"Spanien, Italien, Brasilien, Südafrika, Indien oder Ägypten",I,500 Gramm,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,oranges,€2.09," , No detailed information was provided about this product.",https://oda.com//de/products/55540-orangen/,https://bilder.kolonial.no/local_products/cf6caa98-8510-4618-81d5-6f67832ada7a.jpg?auto=format&fit=max&w=1000&s=2d77660805796ed4b4aaa2b829081ee4,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Spain,I,1.50 kilograms,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,Apple Granny Smith,€2.49," , No detailed information was provided about this product.",https://oda.com//de/products/56139-apfel-granny-smith-6-stuck/,https://bilder.kolonial.no/local_products/2250540c-bbad-49f1-b0b8-ed5e00543bb7.jpg?auto=format&fit=max&w=991&s=4a5a329b1599605ca63f10615bfda2ce,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",France,I,900 grams,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,bananas,€1.49," , No detailed information was provided about this product.",https://oda.com//de/products/61506-bananen/,https://bilder.kolonial.no/local_products/b6523c8e-09db-4e13-9eac-cda3e5780f52.jpg?auto=format&fit=max&w=849&s=dbd44a15022d28d061ef5e882cab127d,,,,5 pieces,daily,Fruit Vegetable,Fruit,oda,,,,,approx. 900g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,11,Organic Avocados Hass Ripened,€1.69," , No detailed information was provided about this product.",https://oda.com//de/products/52337-bio-avocados-hass-angereift-mind-160g/,https://bilder.kolonial.no/local_products/35c65bc5-2a2b-4ac4-8fbd-b00b26e9381b.jpg?auto=format&fit=max&w=1000&s=f0cea2828b0d5e43540c778353a84601,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.","Spain, Morocco, Dominican Republic or Mexico.",I,1 piece,daily,Fruit Vegetable,Fruit,oda,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,12,organic mango,€2.09," , No detailed information was provided about this product.",https://oda.com//de/products/54455-bio-mango/,https://bilder.kolonial.no/local_products/4294da28-8336-4a6e-8686-5201a4b918e2.jpg?auto=format&fit=max&w=1000&s=4010afb1d3203c6b598a3c1b87a33be0,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.","Peru, Burkina Faso or Senegal",II,1 piece,daily,Fruit Vegetable,Fruit,oda,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,13,"Organic dark grapes, seedless",€3.99," , No detailed information was provided about this product.",https://oda.com//de/products/54456-bio-trauben-dunkel-kernlos/,https://bilder.kolonial.no/local_products/b0bd51c2-3519-4d7f-a1a4-03f26bed58dd.jpg?auto=format&fit=max&w=1000&s=78a2d98f2506f5d659ef46bdc5abb287,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",South Africa,II,400 grams,daily,Fruit Vegetable,Fruit,oda,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,14,organic oranges,€2.79," , No detailed information was provided about this product.",https://oda.com//de/products/54465-bio-orangen/,https://bilder.kolonial.no/local_products/8c2de667-a0cf-4f67-bdf0-6419d97c8672.jpg?auto=format&fit=max&w=1000&s=f56bef357da52f47cb3c591fc8d0ab02,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.","Spain, Greece or Egypt",II,1 kilogram,daily,Fruit Vegetable,Fruit,oda,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,15,Apple Kanzi Nicoter,€2.79," , No detailed information was provided about this product.",https://oda.com//de/products/56709-apfel-kanzi-nicoter-6-stuck/,https://bilder.kolonial.no/local_products/de8600e1-c2f5-43da-977f-4d92ab86c074.jpg?auto=format&fit=max&w=1000&s=cfc0c5b9a962977e1fe9e75b76085d38,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Germany,I,1 kilogram,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,16,Organic Bananas,€1.69," , No detailed information was provided about this product.",https://oda.com//de/products/61507-bio-bananen/,https://bilder.kolonial.no/local_products/38761f64-e6a4-4513-b34b-10d53e221d78.jpg?auto=format&fit=max&w=1000&s=90dbb230e8b4b7a397fef51bbc7d925a,about 800g,,,5 pieces,daily,Fruit Vegetable,Fruit,oda,,,,,,organic product,not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,17,Organic Avocados Hass matured large,€1.89," , No detailed information was provided about this product.",https://oda.com//de/products/51583-bio-avocados-hass-angereift-gross-mind-200g/,https://bilder.kolonial.no/local_products/a36180f6-b265-4b56-9cb6-c46de9ba07ce.jpg?auto=format&fit=max&w=1000&s=8eda17f706f3e03fbd80c41a111d7040,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.","Spain, Dominican Republic, Mexico",I,1 piece,daily,Fruit Vegetable,Fruit,oda,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,18,Organic Demeter oranges,€2.79," , No detailed information was provided about this product.",https://oda.com//de/products/54723-bio-demeter-orangen/,https://bilder.kolonial.no/local_products/1c33497b-da54-402c-a930-186ce15ae78d.jpg?auto=format&fit=max&w=1000&s=c6ebe5130ca7e734884fadb8df176a2f,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Italy,II,1 kilogram,daily,Fruit Vegetable,Fruit,oda,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,19,Mango ready to eat,€2.09," , No detailed information was provided about this product.",https://oda.com//de/products/54764-mango-genussreif/,https://bilder.kolonial.no/local_products/beaf0bd9-c78d-4d6c-996b-409f5968568c.jpg?auto=format&fit=max&w=1000&s=971ed722c98f2309631677a2c591e796,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Peru or Brazil,I,1 piece,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,20,Passion fruit 1 piece,€1.29," , No detailed information was provided about this product.",https://oda.com//de/products/54765-passionsfrucht-1-stuck/,https://bilder.kolonial.no/local_products/03796c40-d10a-4170-8fe9-ae74c5ba928d.jpg?auto=format&fit=max&w=1000&s=d1e62188bb8498d89b890989ff577504,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Colombia or Vietnam,I,1 piece,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,21,"Grape mix, seedless",€2.79," , No detailed information was provided about this product.",https://oda.com//de/products/55293-trauben-mix-kernlos-dunkel-hell/,https://bilder.kolonial.no/local_products/d6e39b4f-643e-495f-9f4a-62fe75bcd077.jpg?auto=format&fit=max&w=1000&s=87fe43f8ec05052779f82af0ba5cf572,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.","Spain, Italy, Brazil, South Africa, India or Egypt",I,500 grams,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,22,Apple Golden Delicious,€2.29," , No detailed information was provided about this product.",https://oda.com//de/products/56710-apfel-golden-delicious-6-stuck/,https://bilder.kolonial.no/local_products/24cf1029-6eb4-4866-8f7f-ae5b94ac34a6.jpg?auto=format&fit=max&w=952&s=df0aacf1704f60170e26669008e94c3d,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Germany,I,1 kilogram,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,23,Organic Bananas Junior Fairtrade,€1.49," , No detailed information was provided about this product.",https://oda.com//de/products/61508-bio-bananen-junior-fairtrade/,https://bilder.kolonial.no/local_products/97c1a759-00c2-4a11-a400-0a6d82270779.jpg?auto=format&fit=max&w=1000&s=3384e558486e614e321cb35971e3ad96,about 500g,,,5 pieces,daily,Fruit Vegetable,Fruit,oda,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,24,Passion fruit 4 pieces,€1.99," , No detailed information was provided about this product.",https://oda.com//de/products/19690-passionsfruchte-4-stuck/,https://bilder.kolonial.no/local_products/67be6f63-0b6a-48cc-8cf7-da517ece4191.jpg?auto=format&fit=max&w=1000&s=07bfd6dd61ba9a233a98a0341e543a6e,"No liability is assumed for the information. Please note the information on the respective product packaging, only these are binding. The product design may differ from the illustration.",Colombia,I,4 pieces,daily,Fruit Vegetable,Fruit,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
