,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,protein,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,storage,Characteristics,supplier,May contain traces of,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Salt,Protein,Sugar,carbohydrates,davon gesättigte Fatsäuren,Fat,calorific value,Ursprungsregion,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,Insert currywurst slices,gross weight,supplier,region of origin,May contain traces of,Bundesland,Herkunftsland,Haltungsstufe,Frischegarantie (mindestens),Beschreibung,Variable weight,Freshness guarantee (minimum),Description,Variables Gewicht,Verbrauchshinweis,Verpackungshinweis,Besonderheit,country of origin,posture level,storage,Characteristics,davon Stärke,mehrfach ungesättigte Fatsäuren,Einfach ungesättigte Fatsäuren,consumption note,Packing Notice,*,fiber,of it strength,thereof polyols,Polyunsaturated fatty acids,Monounsaturated fatty acids,Ursprungsland,Ballaststoffe,davon Polyole,Information about the offer,*Haltungsstufe,Zubereitungshinweis,Informationen zum Angebot,Preparation note,Zubereitungsempfehlung (gekühltes Produkt),Preparation recommendation (chilled product),Zubereitungsempfehlung,drained weight,sodium,Notice,Natrium,Backofen,Grill,"Bratpfanne, Pfanne",Zubereitungsempfehlungen,Herkunftsland der Aquakultur/Binnenfischerei,Lateinischer Name,Hinweis,Country of origin of aquaculture/inland fisheries,Inverkehrbringer,Abtropfgewicht,Latin name,Verbraucherhinweise,Hinweis zur Frischegarantie,Note on the freshness guarantee
0,"Happy Foie - Duck with truffle, organic",€24.90,"Happy Foie is the certified organic alternative to conventional foie gras. Pleasure at eye level with a clear conscience. Without stopper. The liver comes from free-ranging and happy free-range animals. Happy Foie is developed in Germany and made with love. Now also available in the exclusive version with white truffle from Italy (tuber magnatum pico). Happy Foie can be processed, prepared and enjoyed like conventional Bloc Foie Gras. Independent blind tastings show that the taste, the smoothness and the consistency are indistinguishable from a conventional bloc foie gras. , Happy Foie, EthicLine GmbH has provided the above information.",https://oda.com//de/products/58804-happy-foie-happy-foie-ente-mit-truffel-bio/,https://bilder.kolonial.no/local_products/17530b08-528a-4b20-90bc-8ae0d4148433.jpg?auto=format&fit=max&w=1000&s=d5720fac4606b4a68e9d9de7040fb040,2.50g,9g,3g,3g,26.80g,44.10 g,1834 kJ / 438 kcal,KühlproduktMuss zwischen 0-8 °C gelagert werden.,Bio-Produkt,"Happy Foie, EthicLine GmbH, Berliner Straße 52e, D-38104 Braunschweig",Celery,"Entenleber 40%*, BUTTER*, desodoriertes KokosFat*, EI*, EntenFat*, Weinbrand*, Verdickungsmittel: Agar-Agar*, Salz, Zucker*, Geflügelfond*, Gewürze*, BUTTER* mit weißem Trüffel* (tuber magnatum pico), Konservierungsmittel: Natriumnitrit, Ascorbinsäure

*aus kontrolliert ökologischer Erzeugung ",130 grams,daily,"Meat, sausage & fish",specialties,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Happy Foie - Goose, organic",€29.50,"Happy Foie is the certified organic alternative to conventional foie gras. Pleasure at eye level with a clear conscience. Without stopper. The liver comes from free-ranging and happy free-range animals. Happy Foie is developed in Germany and made with love. Happy Foie can be processed, prepared and enjoyed like conventional Bloc Foie Gras. , Happy Foie, EthicLine GmbH has provided the above information.",https://oda.com//de/products/58805-happy-foie-happy-foie-gans-bio/,https://bilder.kolonial.no/local_products/aacb4646-3489-4ac4-b0af-8f808a3a71f5.jpg?auto=format&fit=max&w=1000&s=7a1a2a7ebbe93d58a2bbca6b77a14245,,,,,,44.10 g,1834 kJ / 438 kcal,KühlproduktMuss zwischen 0-8 °C gelagert werden.,Bio-Produkt,"Happy Foie, EthicLine GmbH, Berliner Straße 52e, D-38104 Braunschweig",Celery,"Gänseleber 40%*, BUTTER*, desodoriertes KokosFat*, EI*, GänseFat*, Weinbrand*, Verdickungsmittel: Agar-Agar*, Salz, Zucker*, Geflügelfond*, Gewürze*, Konservierungsmittel: Natriumnitrit, Ascorbinsäure. *aus kontrolliert ökologischer Erzeugung ",130 grams,daily,"Meat, sausage & fish",specialties,oda,2.50 g,9 g,3 g,3 g,26.80 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Happy Foie - Duck, organic",€14.99,"We make Happy Foie from the liver of certified organic and healthy animals. The creamy, melt-in-the-mouth consistency of the Happy Foie offers you extraordinary enjoyment and a clear conscience at the same time. The animals whose livers we process in our specially developed manufacturing process lived healthy and free-ranging and did not come from factory farming or were force-fed! Happy Foie stands for culinary enjoyment at eye level with a clear conscience - without stuffing! Our Happy Foie is the alternative to foie gras and can be processed, prepared and enjoyed just like a conventional bloc of foie gras. Try our recipes with Happy Foie. Whether as a course in your feast, in the form of chocolates with a salad or as a thaler on a good steak. Happy Foie can be used anywhere. , Happy Foie, EthicLine GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58806-happy-foie-happy-foie-ente-bio/,https://bilder.kolonial.no/local_products/3e5c0d80-0cc1-4a9f-ae5f-cdce61263a01.jpg?auto=format&fit=max&w=1000&s=3a5913bc42af2d784000a24a11829e70,2.50g,9g,3g,3g,26.80g,,,KühlproduktMuss zwischen 0-8 °C gelagert werden.,Bio-Produkt,"Happy Foie, EthicLine GmbH, Berliner Straße 52e, D-38104 Braunschweig",Celery,,,,"Meat, sausage & fish",specialties,oda,,,,,,44.10g,1834.70 kJ / 438.50 kcal,Deutschland,"Entenleber 40%*, BUTTER*, desodoriertes KokosFat*, EI*, EntenFat*, Weinbrand*, Agar-Agar*, Salz, Rohrzucker*, Hühnerbouillon*, Gewürze* Konservierungsmittel: Natriumnitrit, Ascorbinsäure
*aus kontrolliert biologischem Anbau ",130 Gramm,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Happy Foie - Poultry, organic",€14.99,"We make Happy Foie from the liver of certified organic and healthy animals. The creamy, melt-in-the-mouth consistency of the Happy Foie offers you extraordinary enjoyment and a clear conscience at the same time. The animals whose livers we process in our specially developed manufacturing process lived healthy and free-ranging and did not come from factory farming or were force-fed! Happy Foie stands for culinary enjoyment at eye level with a clear conscience - without stuffing! Our Happy Foie is the alternative to foie gras and can be processed, prepared and enjoyed just like a conventional bloc of foie gras. Try our recipes with Happy Foie. Whether as a course in your feast, in the form of chocolates with a salad or as a thaler on a good steak. Happy Foie can be used anywhere. , Happy Foie, EthicLine GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58807-happy-foie-happy-foie-geflugel-bio/,https://bilder.kolonial.no/local_products/2fa862af-46f0-4ab0-b392-ef7e2940e0d8.jpg?auto=format&fit=max&w=1000&s=4b709df18b1e2d881a48029af4c8541d,2.50g,9g,3g,3g,26.80g,,,KühlproduktMuss zwischen 0-8 °C gelagert werden.,Bio-Produkt,"Happy Foie, EthicLine GmbH, Berliner Straße 52e, D-38104 Braunschweig",Celery,,,,"Meat, sausage & fish",specialties,oda,,,,,,44.10g,1834kJ / 438kcal,Deutschland,"Geflügelleber 40%*, BUTTER*, desodoriertes KokosFat*, EI*, GeflügelFat*, Weinbrand*, Agar-Agar*, Salz, Rohrzucker*, Hühnerbouillon*, Gewürze* Konservierungsmittel: Natriumnitrit, Ascorbinsäure
*aus kontrolliert biologischem Anbau ",130 Gramm,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Happy Foie - free range goose,€42.80,"Happy Foie is the ""unstuffed"" alternative to conventional foie gras. Culinary pleasure at eye level - without stoppers and with a clear conscience. The liver comes from free-ranging animals from our selected partner farms. Happy Foie can be processed, prepared and enjoyed like conventional Bloc Foie Gras. Independent blind tastings show that the taste, the smoothness and the consistency are indistinguishable from a conventional bloc foie gras. , Happy Foie, EthicLine GmbH has provided the above information.",https://oda.com//de/products/58809-happy-foie-happy-foie-freilandgans/,https://bilder.kolonial.no/local_products/b6c555f2-4de9-435d-a766-b48d864b12b7.jpg?auto=format&fit=max&w=1000&s=80bf7adf7c8c09fa4ec3a4601d6e31c9,,,,,,44.10 g,1834 kJ / 438 kcal,KühlproduktMuss zwischen 0-8 °C gelagert werden.,,"Happy Foie, EthicLine GmbH, Berliner Straße 52e, D-38104 Braunschweig",Celery,"Gänseleber 40%, BUTTER, desodoriertes KokosFat, EI, GänseFat, Weinbrand, Verdickungsmittel:
Agar-Agar, Salz, Rohrzucker, Hühnerbouillon, Gewürze, Konservierungsmittel: Natriumnitrit,
Ascorbinsäure ",250 grams,daily,"Meat, sausage & fish",specialties,oda,2.50 g,9 g,3 g,3 g,26.80 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Happy Foie - Duck, organic",€24.99,"Happy Foie is the certified organic alternative to conventional foie gras. Pleasure at eye level with a clear conscience. Without stopper. The liver comes from free-ranging and happy free-range animals. Happy Foie is developed in Germany and made with love. Happy Foie can be processed, prepared and enjoyed like conventional Bloc Foie Gras. , Happy Foie, EthicLine GmbH has provided the above information.",https://oda.com//de/products/58840-happy-foie-happy-foie-ente-bio/,https://bilder.kolonial.no/local_products/4fd9a5cd-8dbe-4bce-942e-f7d8759070fb.jpg?auto=format&fit=max&w=1000&s=ebce3a17edd6fd2d7bd80916a7c2ae4e,,,,,,26.80 g,1834 kJ / 438 kcal,KühlproduktMuss zwischen 0-8 °C gelagert werden.,Bio-Produkt,"Happy Foie, EthicLine GmbH, Berliner Straße 52e, D-38104 Braunschweig",Celery,"Entenleber 40%*, BUTTER*, desodoriertes KokosFat*, EI*, EntenFat*, Weinbrand*, Verdickungsmittel: Agar-Agar*, Salz, Zucker*, Geflügelfond*, Gewürze*, Konservierungsmittel: Natriumnitrit, Ascorbinsäure. 

*aus kontrolliert ökologischer Erzeugung ",250 grams,daily,"Meat, sausage & fish",specialties,oda,2.50 g,9 g,3 g,3 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Meica Curryking Currywurst Ready & Ready,€2.59,"CURRY KING 220 , Meica GmbH & Co. KG has provided the above information.",https://oda.com//de/products/44709-meica-meica-curryking-currywurst-fix-fertig/,https://bilder.kolonial.no/local_products/5d9c45eb-32d0-4ac4-ab71-75bd3547fdf0.jpg?auto=format&fit=max&w=1000&s=b99cd5e706fc62c8c49f4e98621e957a,1.60g,8g,12g,12g,5.50g,,,,,,,"55 % Bockwurst [Schweinefleisch, Trinkwasser, Speck, Speisesalz, Gewürze, Gewürzextrakte (mit SELLERIE), Dextrose, Antioxidationsmittel: Ascorbinsäure, Konservierungsstoff: Natriumnitrit, Rauch], Curry-Sauce [Trinkwasser, Tomatenmark, Zucker, Branntweinessig, Apfelmark, modifizierte Stärke, Salz, Gewürze, Verdickungsmittel: Guarkernmehl, Johannisbrotkernmehl], Currypulver (extra Tütchen). Kann Spuren von MILK PROTEIN,  MUSTARD  included ",120 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,15g,895kJ / 215kcal,,,,,120g,220g,"Meica GmbH & Co. KG, Meicastrasse 6, 26188 Edewecht, Germany",Germany,"milk, mustard.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Minced pork from Brandenburg,€3.59,"Regional geschlachtet - kürzeste Transportwege!
Wir garantieren, das Schweine aus unserem Programm “Original Brandenburg” auch in der Region geschlachtet
werden. Die Transportwege vom landwirtschaftlichen Betrieb zur Schlachtung liegen garantiert unter 200 Kilometern.
Der Prozess Fleischqualität wird im Schlachtbetrieb unseres Vertragspartners VION in Perleberg von der Entladung, dem Zutrieb, der Betäubung und dem Schlacht - und Kühlprozess hervorragend beherrscht.

Das Ziel: Kreislaufwirtschaft!
80 Prozent der Anteile an Futtermitteln werden auf den eigenen Ackerflächen oder in der direkten Nachbarschaft erzeugt.
Unsere Partnerbetriebe haben einen Tierbesatz von maximal 2 GV pro Hektar und erfüllen damit die Anforderungen aus
dem Klimaschutzplan Deutschlands.
Die Verwertung der Dungreste auf den eigenen Ackerflächen als Nährstoffe für die Feldfrüchte stellt die gewünschte Kreislaufwirtschaft sicher. Zukünftig soll auf Importsoja verzichtet werden.

Damit sind nicht nur qualitative Aspekte für den Tiertransport und die Produktfrische abbildbar. Vielmehr findet eine deutliche
Verbesserung des CO2 – Fußabdruckes statt. Die Nutzung regenerativer Energien am Standort Britz ergänzt die 
 umweltbewusste Ausrichtung des Konzeptes Eberswalder - Original Brandenburg. , EFG Eberswalder Fleisch GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/56476-original-brandenburg-schweine-hackfleisch-aus-bran/,https://bilder.kolonial.no/local_products/bb3dff8c-2a82-4e43-9661-370b6d5a3bbd.jpg?auto=format&fit=max&w=1000&s=d19769fab6d1b8d9915c4f4e54f35ce6,,,,,,18 g,972 kJ / 234 kcal,KühlproduktMuss zwischen 0-2 °C gelagert werden.,,EFG Eberswalder Fleisch GmbH,,,,,"Meat, sausage & fish",Meat & meat alternatives,oda,0.15 g,18 g,,,7.20 g,,,,100% Schweinefleisch aus Brandenburg.,500 Gramm,täglich,,,,,,Brandenburg,Deutschland,"Stufe ② Stallhaltung Plus: Mit dem blauen Label der Stufe 2 wird Fleisch gekennzeichnet, das aus einer Haltung stammt, die über die gesetzlichen Standards hinausgeht – darunter fällt auch das Fleisch aus Betrieben der Initiative Tierwohl. Das bedeutet, Tiere haben mindestens zehn Prozent mehr Platz im Stall als gesetzlich vorgeschrieben und es steht ihnen zusätzliches Beschäftigungsmaterial, wie z.B. Picksteine oder Stroh zur Verfügung.",2 Tage,"Bei diesem Artikel ist die Lieferkette vom Ferkel über die Mast, die Schlachtung, die Zerlegung, Veredelung, Verpackung und
Auslieferung in einem Radius um Berlin von rund 200 Kilometern abgebildet. So kommt das Fleisch zu 100% aus Brandenburg.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Organic beef entrecote,€13.80,"Entrecote of beef. Packaging note: The item was vacuum packed. Consumption note: Heat through completely before consumption. This meat is not suitable for raw consumption. After opening the package, the goods can be used on the same day. , Biomanufaktur Havelland has provided the above information.",https://oda.com//de/products/59591-biomanufaktur-havelland-bio-rinder-entrecote-1-sch/,https://bilder.kolonial.no/local_products/2b7fd19d-e254-43c3-b712-b4a3c5d1289f.jpg?auto=format&fit=max&w=1000&s=0735f342c46857be14dd47ae4cc3c8b0,,,,,,,,KühlproduktMuss zwischen 1-7 °C gelagert werden.,Bio-Produkt,"Biomanufaktur Havelland, Havelring 17, 16727 Velten, Deutschland","Gluten, Eier, Sojabohnen, Milch, Nüssen, Sellerie, Senf, Schwefeldioxid.",,approx. 250 grams,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,,,Deutschland,Rinder Entrecote ,,,,,,,,,,,,,"Dieses Produkt kann in Gewicht und Größe leicht variieren. Der Preis wird dem tatsächlichen Gewicht am Tag der Lieferung angepasst. Wir stellen sicher, dass die Abweichung so gering wie möglich gehalten wird.",3 days,"ORGANIC AS IT SHOULD BE For us, meat is not a product, but a matter of the heart. Pleasure, but with responsibility: with nature and with handicraft culture. Exemplary Farmers. Refined recipes. Over 350 specialties - in top organic quality. For everyone who values ​​really good taste.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Organic beef rump steak,€16.15,"Rump steak, sliced. Packaging note: The item was vacuum packed. Consumption note: Heat through completely before consumption. This meat is not suitable for raw consumption. After opening the package, the goods can be used on the same day. , Biomanufaktur Havelland has provided the above information.",https://oda.com//de/products/59595-biomanufaktur-havelland-bio-rinder-rumpsteak-1-sch/,https://bilder.kolonial.no/local_products/691efabf-2072-40b8-a531-6e06381bb810.jpg?auto=format&fit=max&w=736&s=1a5943f6d6573e773a4c59bc9b638a1c,,,,,,,,KühlproduktMuss zwischen 1-7 °C gelagert werden.,Bio-Produkt,"Biomanufaktur Havelland, Havelring 17, 16727 Velten, Deutschland","Gluten, Eier, Sojabohnen, Milch, Nüssen, Sellerie, Senf, Schwefeldioxid.",,ca. 250 Gramm,daily,"Meat, sausage & fish",Meat & meat alternatives,oda,,,,,,,,Deutschland,Rinder Rumpsteak ,,,,,,,,,,,,,,3 days,"ORGANIC AS IT SHOULD BE. This is what the Biomanufaktur Havelland stands for. For us, meat is not a commodity, but a matter of the heart. Pleasure, but with responsibility: with nature and with handicraft culture. Exemplary Farmers. Refined recipes. Over 350 specialties - in top organic quality. For everyone who values ​​really good taste.","Dieses Produkt kann in Gewicht und Größe leicht variieren. Der Preis wird dem tatsächlichen Gewicht am Tag der Lieferung angepasst. Wir stellen sicher, dass die Abweichung so gering wie möglich gehalten wird.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
