,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,protein,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,drained weight,product weight,supplier,country of origin,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,fiber,region of origin,Natrium,Salz,Protein,Ballaststoffe,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lieferant,Ursprungsregion,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,Abtropfgewicht,Characteristics,gross weight,Eigenschaften,May contain traces of,FAO area designation,Description,Drained weight,Size,Delivery days,Product InformationThe supplier has not provided us with detailed information about this product.Alle Produkte von Del Monte anzeigen,Produktgewicht,Ursprungsland,Beschreibung,Kann Spuren enthalten von ,sodium,Bruttogewicht,Hinweis,capacity,Inverkehrbringer,"Store at room temperature protected from light. After opening, store in a cool place (max. +7°C) and use up within 2 days. Best before",Bei Raumtemperatur lichtgeschützt aufbewahren. Nach dem Öffnen kühl (max. +7°C) lagern und innerhalb von 2 Tagen aufbrauchen. Mindestens haltbar bis,davon Polyole,thereof polyols,distributor,Product InformationThe supplier has not provided us with detailed information about this product.View all Nestlé products,Freshness guarantee (minimum),Monounsaturated fatty acids,storage,Informationen zum Angebot,Information about the offer,Polyunsaturated fatty acids
0,Mutti Pomodori Pelati peeled tomatoes,€1.69,"Mom's peeled tomatoes 400 GR , Vog AG has provided the above information.",https://oda.com//de/products/9857-mutti-mutti-pomodori-pelati-schaltomaten/,https://bilder.kolonial.no/local_products/1d2d6fc2-08d3-4919-889c-762f26bf0601.jpg?auto=format&fit=max&w=687&s=77f7a4b20824ca099e180c0ef828dcf7,0.01g,1.10g,2.90g,3.60g,0.10g,0.50g,92kJ / 22kcal,260g,400g,"Vog SA, Via Traversetolo, 28 - 43022 Montechiarugolo, Parma, Italy",Italy,"Peeled tomatoes, tomato juice, acidity regulator: citric acid E330",400 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Spreewaldhof gherkins,€1.89,"Spreewaldhof gherkins (PGI Spreewald gherkins) with fresh dill and onions 330g , Spreewaldreservate Golßen GmbH has provided the above information.",https://oda.com//de/products/43631-spreewaldhof-spreewaldhof-cornichons/,https://bilder.kolonial.no/local_products/aa59798f-d19a-4a91-bd62-5894bbd8f7ad.jpg?auto=format&fit=max&w=574&s=29bf5404c853e4bc6e8f97dd51612f84,1.40g,0.50g,6.70g,6.80g,0.10g,0.10g,150kJ / 35kcal,190 grams,,"Spreewaldreservate Golssen GmbH, Bahnhofstr. 1, 15938 Golssen, Germany",,"Cucumbers,  spirit vinegar,  sugar,  onions,  salt,  dill,  MUSTARD , spices, spice extracts.   ",300 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,1.50g,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Müller's Mettwurst,€2.65,"Top quality Mettwurst, cooked. Produced according to traditional home-made recipes. Only the best meat and refined with natural spices. Without the addition of flavor enhancers. , Müllers Hausmacher Wurst GmbH & Co. KG has provided the above information.",https://oda.com//de/products/44368-mullers-mullers-mettwurst/,https://bilder.kolonial.no/local_products/829d1132-9dc0-4c8d-869e-980188e715a7.jpg?auto=format&fit=max&w=974&s=4856e284ecffb161e0912246b3f51f26,1.30g,15g,0.40g,0.40g,30g,30g,1384kJ / 331kcal,,,"Müllers Hausmacher Wurst GmbH & Co. KG, Uelzener Strasse 16, D-29574 Ebstorf, Germany",Germany,"Pork (98%), table salt, spices, preservative: sodium nitrite.",160 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Spreewaldhof apple compote with pieces signed,€2.39,"Spreewaldhof apple compote with pieces, sweetened 360gl , Spreewaldkonserve Golßen GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/46386-spreewaldhof-spreewaldhof-apfel-kompott-m-stucken/,https://bilder.kolonial.no/local_products/8aad1d7c-6a98-4a2c-8c90-f201e4b948a8.jpg?auto=format&fit=max&w=652&s=9a4011d62cf26a2b845d5e45b1a25756,,,,,,,,,,,,,,,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,0.01 g,0.01 g,0.20 g,0.80 g,17 g,17.30 g,0.10 g,0.20 g,313 kJ / 74 kcal,"Spreewaldkonserve Golßen GmbH, Bahnhofstr. 1, 15938 Golßen, Deutschland",Deutschland,"91% Äpfel, Zucker, Säuerungsmittel: Äpfelsäure, Antioxidationsmittel: Ascorbinsäure",360 Gramm,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Hawesta MSC Tuna Fillets Olive Oil,€1.65,"Tuna fillets in olive oil 80 g , HAWESTA-Feinkost GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52320-hawesta-hawesta-msc-thunfischfilets-olivenol/,https://bilder.kolonial.no/local_products/c3695449-2d36-4406-986f-3056ec59eeee.jpg?auto=format&fit=max&w=1000&s=0e18509526a81d306b04995ad352ea8b,,,,,,,,,,,,,,,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,"HAWESTA-Feinkost GmbH & Co. KG, Mecklenburger Strasse 140-142, 23568 Lübeck, Deutschland",Seychellen,"THUNFISCHFILETS, Olivenöl, Salz. ",80 Gramm,täglich,52 Gramm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BIO COMPANY Organic sun-dried tomatoes in oil,€3.49,"Sun-dried tomatoes in sunflower and olive oil, refined with capers, white wine vinegar and Mediterranean herbs and spices, excellent on antipasti plates and in salads. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52719-bio-company-bio-company-bio-getrocknete-tomaten-in/,https://bilder.kolonial.no/local_products/38e31b1a-41e9-4c8d-be9e-da6e25cdf4a5.jpg?auto=format&fit=max&w=450&s=4760f57054cec2c5a3d24a94c7f4187b,0.85g,5.10g,14g,15g,,5.10g,588kJ / 141kcal,,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,"Sun-dried tomatoes* 63%, sunflower oil* 25%, extra virgin olive oil* 6%, capers*, white wine vinegar*, salt, garlic*, oregano*, parsley*, basil*",130 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mutti Polpa Finest tomato pulp,€1.69,"Mutti finely chopped tomatoes 400 GR , Mutti SpA has provided the above information.",https://oda.com//de/products/9860-mutti-mutti-polpa-feinstes-tomatenfruchtfleisch/,https://bilder.kolonial.no/local_products/ca861dfe-3e14-4dcf-a4bb-b1b62f0c6c4c.jpg?auto=format&fit=max&w=697&s=ec54acc5f0751c8b5af1bed5c4a918ec,0.30g,1.20g,2.80g,3.90g,0.10g,0.20g,110kJ / 26kcal,,,Mutti SpA,Italy,"tomatoes, salt.",400 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Müller's liver sausage,€2.65,"Müller's homemade sausage liverwurst 160g glass , Müllers Hausmacher Wurst GmbH & Co. KG has provided the above information.",https://oda.com//de/products/44730-mullers-mullers-leberwurst/,https://bilder.kolonial.no/local_products/72206520-40cb-4eb6-b74d-7b3dad402c3c.jpg?auto=format&fit=max&w=974&s=228dce845668c7fc85720e748d1a8ea1,1.60g,14g,0.40g,1g,13g,32g,1441kJ / 349kcal,,,"Müllers Hausmacher Wurst GmbH & Co. KG, Uelzener Strasse 16, D-29574 Ebstorf, Germany",,"Pork (60%), pork liver (23%), pork bacon, onions, table salt, spices, herbs, preservative: sodium nitrite",160 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Spreewaldhof Spice Cucumbers Spreelinge,€2.29,"Spreewaldhof Spreelinge (PGI Spreewald gherkins) with fresh dill and onions 670g , Spreewaldreservate Golßen GmbH has provided the above information.",https://oda.com//de/products/46166-spreewaldhof-spreewaldhof-gewurz-gurken-spreelinge/,https://bilder.kolonial.no/local_products/6916db09-8208-4d9a-82c5-1305ad9a0cdc.jpg?auto=format&fit=max&w=698&s=1d8ec86de3613ee73d209d7757ba5701,1.40g,0.50g,6.70g,6.80g,0.10g,0.10g,150kJ / 35kcal,360 grams,,"Spreewaldreservate Golssen GmbH, Bahnhofstr. 1, 15938 Golssen, Germany",,"Cucumbers,  Spirit Vinegar,  Sugar,  Onions,  Salt,  Dill,  MUSTARD SEEDS , Spices, Spice Extracts.   ",670 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,1.50g,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Spreewaldhof applesauce,€2.49,"Spreewaldhof The other applesauce made from cold-grated, fresh apples, lightly sweetened 720 ml , Spreewaldreservate Golßen GmbH has provided the above information.",https://oda.com//de/products/46185-spreewaldhof-spreewaldhof-apfelmus/,https://bilder.kolonial.no/local_products/88d2d50c-f7c9-4a32-8b7f-d9ebc18c9e62.jpg?auto=format&fit=max&w=591&s=ca84d6aec744b62d14c501d838a03bf2,0.01g,0.40g,14g,15g,0.10g,0.10g,289kJ / 68kcal,,,"Spreewaldreservate Golssen GmbH, Bahnhofstr. 1, 15938 Golssen, Germany",,"apples, sugar, acidifier: malic acid; Antioxidant: ascorbic acid.",700 grams,daily,"Supplies, sauces and condiments",Preserves & Pickles,oda,2g,Germany,,,,,,,,,,,,,,,,,700g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
