,,,,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Unnamed: 6,country of origin,commercial class,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Country of origin,Trade class,Contents.1,Possible delivery times.1,Weight,Characteristics,supplier,Information about the offer,region,supplier.1,Region of origin,region of origin,variety,Quality,Description,trademark,trade class,mixing,Characteristics.1,Salt,protein,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,Ingredients/Ingredients,Freshness guarantee (minimum),Salt.1,Protein,fiber,Zucker,carbohydrates.1,hereof: saturated fatty acids.1,Fett,calorific value.1,Ingredients/Ingredients.1,Freshness guarantee (minimum).1,fiber.1,Information about the offer.1,May contain traces of,May contain traces of.1,storage,drained weight,storage.1,Variable weight,Description.1,drained weight.1,distributor,Notice,Polyunsaturated fatty acids,Monounsaturated fatty acids,particularities,weight class,grade,Size,Size.1,Delivery days,Freshness guarantee,Product InformationThe supplier has not provided us with detailed information about this product.View all Alpro products,sodium,deposit,deposit.1
0,,,,bio-verde Organic Gorgonzola DOP,€3.89,"Soft cheese made from cow's milk, matured for at least 60 days , Heiderbeck GmbH has provided the above information.",https://oda.com//de/products/58715-bio-verde-bio-verde-bio-gorgonzola-dop/,https://bilder.kolonial.no/local_products/e5ae651c-6732-48a8-b4b4-badbc959b94f.jpg?auto=format&fit=max&w=1000&s=9e02d9826108c28f2726abb9173d2db3,,,,125 grams,daily,"cheese, eggs and dairy products",cheese counter,oda,,,,,,organic product,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Germany",,,,,Italy,,,,,,,,1.60g,18g,0g,0g,19g,27g,1305kJ / 315kcal,"COW MILK*,  sea salt,  animal  rennet. *  from  controlled  ecological  cultivation ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,Willicroft Greek White,€3.55,"Plant-based alternative to cheese in brine, porcelain-colored dough with break holes, aromatic tangy taste and smooth creamy texture. , Heiderbeck GmbH has provided the above information.",https://oda.com//de/products/58730-willcroft-willicroft-greek-white/,https://bilder.kolonial.no/local_products/7b5457d3-556a-4eec-9379-5ceaf72cd690.jpg?auto=format&fit=max&w=1000&s=272526f08fca0b4c573ddb46589b0314,,,,150 grams,daily,"cheese, eggs and dairy products",cheese counter,oda,,,,,,,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Germany",,,,,Netherlands,,,,,,,,1.90g,3.70g,0.50g,12.40g,23.20g,25.90g,1258kJ / 304kcal,"Water, 25% Coconut Oil, 13% White Beans, Potato Starch, Potato Protein, Apple Cider Vinegar, Sea Salt, Natural Flavor, Antioxidant (Ascorbic Acid), Dried Yeast, Garlic Powder.",,,,,,,,,,,,3.40g,,,,cooling productMust be stored between 0-4°C.,,,,,,,,,,,,,,,,,,,,
2,,,,Organic Willicroft Italian Aged,€3.95,"Vegetable organic pasta topping based on cashews, ivory-colored dough without holes, aromatic-spicy taste, with a crumbly texture. , Heiderbeck GmbH has provided the above information.",https://oda.com//de/products/58731-willicroft-bio-willicroft-italian-aged/,https://bilder.kolonial.no/local_products/8be4b121-4244-412c-9818-295758f6fb00.jpg?auto=format&fit=max&w=1000&s=646665b0fe7204ceb595636a2bf56843,,,,75 grams,daily,"cheese, eggs and dairy products",cheese counter,oda,,,,,,organic product,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Germany",,,,,Netherlands,,,,,,,,2.30g,20.20g,6.80g,29.80g,6.80g,40g,2215kJ / 529kcal,"77.2%  CASHEW NUTS*,  corn starch*,  4.8%  dry yeast*,  salt*,  garlic powder*,  natural  yeast extract*.  *From  controlled  ecological  cultivation.  
May contain  traces  of  GLUTEN  and  SOYA  . ",,,,,,,,,,,,15.30g,,"gluten, soybeans.",,,,,,,,,,,,,,,,,,,,,,
3,,,,Organic Mozzarisella Classic,€2.79,"Vegetable alternative to mozzarella, light ivory color without holes, aromatic and elastic, Italy. , Heiderbeck GmbH has provided the above information.",https://oda.com//de/products/58732-oda-kasetheke-bio-mozzarisella-classic-alternative/,https://bilder.kolonial.no/local_products/ac3b88c6-8100-41c2-9a3f-716bf3d272cb.jpg?auto=format&fit=max&w=1000&s=814b9b3c4eec4899735b2244ed0dd5b0,,,,125 grams,daily,"cheese, eggs and dairy products",cheese counter,oda,,,,,,organic product,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Germany",,,,,Italy,,,,,,,,1.50g,0.70g,0.30g,8.50g,14g,16g,766kJ / 185kcal,"44% rice preparation [water, 20.8% sprouted whole grain rice*, table salt, apple vinegar*], water, coconut oil*, sunflower oil with oregano [sunflower oil*, oregano*], lemon juice*, apple vinegar*, salt, thickener (agar-agar, gum arabic*, xanthan gum, locust bean gum*). * from controlled ecological cultivation",,,,,,,,,,,,2.20g,,,,cooling productMust be stored between 2-7°C.,,,,,,,,,,,,,,,,,,,,
4,,,,new roots Bio La Cotta Nature,€5.09,"Plant-based alternative to ricotta, porcelain-colored dough, slightly sour taste with a creamy texture, Canton Bern. , Heiderbeck GmbH has provided the above information.",https://oda.com//de/products/58733-oda-kasetheke-new-roots-bio-la-cotta-nature-pflanz/,https://bilder.kolonial.no/local_products/a382e783-91de-4c5e-897a-437c21dbb997.jpg?auto=format&fit=max&w=1000&s=7c4485859527e944ef6a8087aa7b78bf,,,,120 grams,daily,"cheese, eggs and dairy products",cheese counter,oda,,,,,,organic product,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Germany",,,,,Switzerland,,,,,,,,0.80g,11g,1g,8.70g,4.60g,25.40g,1327kJ / 320kcal,"52%  CASHEW NUTS*,  water,  rock salt,  vegan  fermentation cultures. *  from  controlled  ecological  cultivation ",6 days,,,,,,,,,,,,,,,cooling productMust be stored between 0-4°C.,,,,,,,,,,,,,,,,,,,,
5,,,,new roots Bio Soft White,"6,69€","Pflanzliche Alternative zu Weichkäse mit weißem Edelschimmel aus fermentierten Cashewkernen, 3 Wochen gereift, porzellanfarbener Teig ohne Lochung, mild-aromatisch bei cremiger Textur, Kanton Bern. , Heiderbeck GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58736-oda-kasetheke-new-roots-bio-soft-white/,https://bilder.kolonial.no/local_products/36824cdf-3785-4ab4-b32a-dfa384fbc07b.jpg?auto=format&fit=max&w=1000&s=bee35b5e052a9f36623a015efee0ecbe,,,,,,"cheese, eggs and dairy products",cheese counter,oda,,,120 Gramm,daily,,,,,,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Deutschland",Schweiz,,,,,,,,Bio-Produkt,,,,,,,,,,1.20 g,13.40 g,,1 g,10.60 g,5.50 g,30.80 g,1608 kJ / 388 kcal,"63% CASHEWKERNE*, Wasser, Steinsalz, vegane Fermentations- und Edelschimmelkulturen.
* Aus kontrolliert biologischem Anbau ",6 Tage,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,Organic Buffalo Burrata,€3.29,"Cheese made from organic buffalo milk and organic cow cream, juicy, elastic texture, milk-fresh, creamy taste with a typical note of musk and a deliciously creamy mouthfeel, Campania. , Heiderbeck GmbH has provided the above information.",https://oda.com//de/products/58737-oda-kasetheke-bio-buffel-burrata/,https://bilder.kolonial.no/local_products/44352189-50e7-48d2-aef8-68c3cf4eaeeb.jpg?auto=format&fit=max&w=1000&s=89fac354da057ae5cb44025b5c866a73,,,,125 grams,daily,"cheese, eggs and dairy products",cheese counter,oda,,,,,,organic product,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Germany",,,,,Italy,,,,,,,,0.40g,11g,0.90g,0.90g,17g,25g,1127kJ / 273kcal,"BUFFALO MILK*,  42%  COW CREAM product*  UHT  ,  BUFFALO WHEY*,  salt,  rennet.  
*  from  controlled  organic  farming. ",5 days,,,,,,,,,,,,,,,,125 grams,,,,,,,,,,,,,,,,,,,
7,,,,Organic PP wildflower,€6.15,"Semi-hard cheese made from organic hay milk, matured for approx. 4 months, edible red smear rind, creamy dough with irregular pea-sized holes, spicy taste, Allgäu/Germany. , Heiderbeck GmbH has provided the above information.",https://oda.com//de/products/58738-oda-kasetheke-bio-pp-wildblume/,https://bilder.kolonial.no/local_products/965b7554-8835-4e44-a932-acf3f530d29d.jpg?auto=format&fit=max&w=1000&s=702f8827e2273336b15c9cf8d02d8371,,,,180 grams,daily,"cheese, eggs and dairy products",cheese counter,oda,,,,,,organic product,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Germany",,,,,Germany,,,,,,,,1.40g,26g,0.10g,0.10g,25g,35g,1737kJ / 419kcal,"HAY MILK  g.  t.  S.*,  salt,  CHEESE CULTURES , rennet, natural bark with flower mix (calendula petals*, strawberry leaves*, Schabzigerklee*, cornflower petals*). * From controlled ecological production             ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,La Tur,€6.59,"Weichkäse aus der Region Langhe im Piemont, der aus einer Mischung aus Kuh-, Ziegen- und Schafsmilch hergestellt wird. Er verfügt über eine beigefarbene gewellte Rinde und dank der Mischung aus den drei Milchsorten einen sehr cremigen Geschmack, der den Käse zu einer echten Rarität , Fromi GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/58739-oda-kasetheke-la-tur-weichkase/,https://bilder.kolonial.no/local_products/8d1b02d3-6e71-4258-bdaa-7c0ad51987d9.jpg?auto=format&fit=max&w=942&s=6d30227d2ef461237813fccfae57901e,,,,,,"cheese, eggs and dairy products",cheese counter,oda,Italien,,ca. 230 Gramm,daily,,,,,,Fromi GmbH,,,,,,,,,,,,,,,,,,,1 g,14 g,1.50 g,1.80 g,1.80 g,18 g,25 g,1200 kJ / 290 kcal,"MILCH 98% (Kuh; Ziegen; Schaf); Salz 1%; Kulturen 0,1%; Labaustauschstoff 0,1% Enthält: LAKTOSE, MILCH ",4 Tage,,,,,,,KühlproduktMuss zwischen 2-7 °C gelagert werden.,"Dieses Produkt kann in Gewicht und Größe leicht variieren. Der Preis wird dem tatsächlichen Gewicht am Tag der Lieferung angepasst. Wir stellen sicher, dass die Abweichung so gering wie möglich gehalten wird.","Der La Tur is ein in nur 10 Tagen gereifter Weichkäse und wird in der Region Langhe im Piemont in Italien hergestellt. Die Langhe zählt zu den faszinierendsten Landschaften in der Region Piemont. Sie ist berühmt für ihren Wein, ihre wundervolle Natur und vor allem ihre kulinarischen Leckerbissen. Du kannst in mir den butterartigen Reichtum aus der Kuhmilch, den Geschmack der Ziegenmilch und die weiche Nussigkeit der Schafsmilch schmecken. Die drei Milchsorten ergänzen sich gut, und das ist der Grund, dass ich einen relativ komplexen Geschmack für einen jungen, weichen Käse habe.",,,,,,,,,,,,,,,,
9,,,,Pecorino Tenero,€6.15,"Hard cheese made from sheep's milk, matured for at least 2 months, light brown rind, ivory-colored body, compact, slightly crumbly texture, mildly aromatic with a subtle note of sheep's milk, Sardinia. , Heiderbeck GmbH has provided the above information.",https://oda.com//de/products/58740-oda-kasetheke-pecorino-tenero/,https://bilder.kolonial.no/local_products/54cfe904-a43e-4d6b-bd00-7ecbd886326b.jpg?auto=format&fit=max&w=1000&s=66beeb8d8c20301703383388142bebcc,,,,200 grams,daily,"cheese, eggs and dairy products",cheese counter,oda,,,,,,,"Heiderbeck GmbH, Gewerbering 4, 82140 Olching, Germany",,,,,Italy,,,,,,,,2g,23g,0g,0g,25g,38g,1800kJ / 435kcal,"SHEEP MILK , salt, rennet, bark: preservative E 235, coloring E 160b (ii), E 172.             ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
