,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,protein,fiber,Sugar,carbohydrates,Fat,calorific value,Characteristics,supplier,May contain traces of,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,region of origin,Salz,Protein,Ballaststoffe,Zucker,Kohlenhydrate,Fett,Brennwert,Eigenschaften,Lieferant,Kann Spuren enthalten von ,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,hereof: saturated fatty acids,Size,Delivery days,Product InformationThe supplier has not provided us with detailed information about this product.View all Barilla products,davon gesättigte Fettsäuren,Ursprungsregion,country of origin,Ursprungsland,sodium,Description,drained weight,capacity,Abtropfgewicht,Unser Beitrag für Nachhaltigkeit,4. Anrichten,3. Abschrecken,2. Aufkochen,1. Auspacken,Freshness guarantee (minimum)
0,BIO COMPANY Organic durum wheat spaghetti,€1.09,"Spaghetti made from durum wheat semolina, gently processed and made in the traditional Italian way, tastes good with tomato sauce and pesto. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52686-bio-company-bio-company-bio-hartweizen-spaghetti/,https://bilder.kolonial.no/local_products/692366c8-510a-4ed7-a60a-7365a043f7ec.jpg?auto=format&fit=max&w=450&s=81ad3ccd264f6baefd35171c9d0f25c7,0.01g,11g,2.60g,4.30g,72g,1.50g,1489kJ / 351kcal,organic product,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany","soybeans, mustard.",Durum WHEAT semolina* ,500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BIO COMPANY Organic durum wheat fusilli,€1.09,"Fusilli made from durum wheat semolina, traditionally made in Italy with bronze rollers - this gives the pasta a rough surface and sauces are better absorbed. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52688-bio-company-bio-company-bio-fusilli-aus-hartweizen/,https://bilder.kolonial.no/local_products/89de7e5e-34f8-4dac-9e31-90849be311f2.jpg?auto=format&fit=max&w=1000&s=fdb3fabc17868750097ee40a36b8cf7c,0.01g,11g,2.60g,4.30g,72g,1.50g,1489kJ / 351kcal,organic product,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany","Eggs, Soybeans, Mustard.",Durum WHEAT semolina* ,500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BIO COMPANY Organic penne made from durum wheat,€1.09,"Penne made from durum wheat semolina, traditionally made in Italy with bronze rollers - this gives the pasta a rough surface and sauces are better absorbed. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52687-bio-company-bio-company-bio-penne-aus-hartweizen/,https://bilder.kolonial.no/local_products/7e99b3d0-d129-494a-90a1-f984483dd8e3.jpg?auto=format&fit=max&w=450&s=c2a02d022e3ec09891cbff18e583cdb5,0.01g,11g,2.60g,4.30g,72g,1.50g,1489kJ / 351kcal,organic product,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany","Eggs, Soybeans, Mustard.",Durum WHEAT semolina* ,500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BIO COMPANY Organic Lasagna,€1.49,"The lasagne sheets according to the original Italian tradition - with a clear grain note and natural, genuine taste - have an ideal structure and surface for the preparation of all lasagne variations. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52629-bio-company-bio-company-bio-lasagne/,https://bilder.kolonial.no/local_products/c50bd026-a94e-43ef-b2eb-992c23adc1ca.jpg?auto=format&fit=max&w=450&s=4568e5c6f04ae7aacfaf10bb12eca241,0.01g,11g,2.60g,4.30g,72g,1.50g,1489kJ / 351kcal,organic product,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany","soybeans, mustard.",Durum WHEAT semolina ,250 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BIO COMPANY Organic penne made from whole-grain durum wheat,€1.09,"Penne made from wholegrain durum wheat semolina, traditionally made in Italy with bronze rollers - this gives the pasta a rough surface and sauces are better absorbed. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52471-bio-company-bio-company-bio-penne-aus-vollkorn-har/,https://bilder.kolonial.no/local_products/256d26ce-ec16-4eab-8b24-0d076e72f448.jpg?auto=format&fit=max&w=567&s=e01589b0159db9a6961b4999cfff5598,0.01g,12g,8.30g,3.40g,68g,2.20g,1506kJ / 356kcal,organic product,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany","Eggs, Soybeans, Mustard.",Wholemeal DURUM WHEAT semolina* ,500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BIO COMPANY Bio Fusilli aus Vollkornhartweizen,"1,09€","Fusilli aus Vollkorn-Hartweizengrieß, traditionell italienisch mit Bronzewalzen hergestellt - dadurch erhält die Pasta eine raue Oberfläche, und Saucen werden besser aufgenommen. , BIO COMPANY SE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52472-bio-company-bio-company-bio-fusilli-aus-vollkornha/,https://bilder.kolonial.no/local_products/9a61ac54-b345-4fbd-98f9-28cd44f39d36.jpg?auto=format&fit=max&w=450&s=83cc7ae67b852a9ec8e30f5c88c7bb50,,,,,,,,,,,,,,"pasta, rice and cereals",Noodles and pasta,oda,,0.01 g,12 g,8.30 g,3.40 g,68 g,2.20 g,1506 kJ / 356 kcal,Bio-Produkt,"BIO COMPANY SE, Rheinstraße 45-46, 12161, Berlin, Deutschland","Eier, Sojabohnen, Senf.",Vollkorn-HARTWEIZEN-Grieß* ,500 Gramm,täglich,,,,,,,,,,,,,,,,,,,
6,BIO COMPANY Organic Wholemeal Spaghetti,€1.09,"Klassische Nudelform aus 100 % Vollkornhartweizengrieß und nach traditionell italienischer Herstellung, schmeckt hervorragend mit Tomatensoße oder Pesto. , BIO COMPANY SE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52470-bio-company-bio-company-bio-vollkorn-spaghetti/,https://bilder.kolonial.no/local_products/edd6c801-e170-4cbe-9451-ccdb24cce746.png?auto=format&fit=max&w=450&s=d39eb9a6d58a84c302771b75eb295bac,,,,,,,,,,,,,,"pasta, rice and cereals",Noodles and pasta,oda,,0 g,13 g,7.50 g,4 g,66 g,2 g,1467 kJ / 346 kcal,Bio-Produkt,"BIO COMPANY SE, Rheinstraße 45-46, 12161, Berlin, Deutschland",Sojabohnen.,Vollkorn-HARTWEIZEN-Grieß* ,500 Gramm,täglich,,,,,,,,,,,,,,,,,,,
7,BIO COMPANY Organic spaghetti from emmer,€1.99,"Classic pasta made from emmer semolina, traditionally made in Italy with bronze rollers - this gives the pasta a rough surface and sauces are better absorbed. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52766-bio-company-bio-company-bio-spaghetti-aus-emmer/,https://bilder.kolonial.no/local_products/4d67bfd7-4f55-4a41-adf1-df8459103eeb.jpg?auto=format&fit=max&w=1000&s=e297ba43c4567b4ced1e30da33eb9238,0.01g,12g,3.40g,2.10g,76g,1.50g,1579kJ / 372kcal,organic product,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany","soybeans, mustard.",EMMER semolina* ,500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,BIO COMPANY Organic spaghetti made from whole grain spelled,€1.99,"Spaghetti made from wholemeal spelled flour, traditionally made in Italy with bronze rollers - this gives the pasta a rough surface and sauces are better absorbed. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52473-bio-company-bio-company-bio-spaghetti-aus-dinkelvo/,https://bilder.kolonial.no/local_products/5c5d81b2-096c-469e-8292-d9411d1c1f48.jpg?auto=format&fit=max&w=450&s=096a40902c28c03820794cce039ec9f0,0.01g,13g,5.20g,2.40g,67g,2.50g,1486kJ / 351kcal,organic product,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany","soybeans, mustard.",SPELLED WHEAT wholemeal flour* ,500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Every day organic spaghetti,€1.65,"Organic pasta made from durum wheat semolina. , Central trading company ZHG mbH Food has provided the above information.",https://oda.com//de/products/55896-jeden-tag-jeden-tag-bio-spaghetti/,https://bilder.kolonial.no/local_products/81c7ce0d-d43d-4440-92d2-b7cde52da89b.jpg?auto=format&fit=max&w=285&s=3ffa34f2ee1304a526af2d293c0bcf3b,,12g,,3.50g,71g,1.10g,1476kJ / 353kcal,organic product,"Central trading company ZHG mbH Food, Hanns-Martin-Schleyer-Strasse 2, 77656 Offenburg, Germany",,"Organic  durum wheat semolina . May contain traces of EGGS , SOY and MUSTARD .         ",500 grams,daily,"pasta, rice and cereals",Noodles and pasta,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
