,Title,Subtitle,Link
0,ARGY BARGEY,Inside first migrants barge critics call 'cruel' – but it has luxury facilities,https://www.thesun.co.uk/news/21957789/inside-barge-housing-migrants-with-luxury-facilities/
1,PROUD SHOW,Full list of Royals set to appear on palace balcony for King Charles' coronation,https://www.thesun.co.uk/fabulous/21958426/which-royal-family-members-balcony-coronation/
2,NO CHARGE,Peter Murrell released without charge following arrest amid SNP finances probe,https://www.thesun.co.uk/news/21957559/peter-murrell-released-without-charge-arrest-snp-probe/
3,DIRRTY SECRET!,Christina Aguilera makes X-rated confession about sex with her boyfriend,https://www.thesun.co.uk/tvandshowbiz/21956153/christina-aguilera-sex-plane-boyfriend-matthew-rutler/
4,POWER MOVE,Popular bathroom feature could be banned in plans to save water,https://www.thesun.co.uk/news/21957473/power-shower-bathroom-feature-banned-plans-save-water/
5,'ABHORRENT & CRUEL',Eight women guilty over one of Britain's worst-ever child sex rings,https://www.thesun.co.uk/news/21958402/walsall-wolverhampton-child-sex-abuse-ring-women/
6,THE SUN SAYS,Only middle-class lefties could whinge migrant barge is not luxurious enough,https://www.thesun.co.uk/news/21958190/sun-says-hand-wringing-left-slam-asylum-migrant-barge/
7,MASSIVE SAVINGS,Simba deals: Get up to 55% off,https://www.thesun.co.uk/sun-selects/16526814/simba-deals-discount-codes/
8,TOP TIPS,"Get the best tips, odds, and betting offers ahead of the Masters at Augusta",https://www.thesun.co.uk/betting/21887304/the-masters-betting-tips-odds-betting-offers/
9,DEAR DEIDRE,I'm thinking of inviting another man into our bed to spice up my wife's libido,https://www.thesun.co.uk/dear-deidre/21948363/inviting-another-man-bed-spice-wife-sex-libido/
10,SEX OFFENDERS SCANDAL,300 criminals convicted of sex acts on KIDS dodging jail every year,https://www.thesun.co.uk/news/politics/21959103/criminals-sex-offenders-dodging-jail-every-year/
11,TOT ALONE,Hunt for girl seen wandering streets alone before telling passersby 'I'm lost',https://www.thesun.co.uk/news/21955517/torquay-missing-girl-latest-news/
12,'WHAT HAPPENED?',Wetherspoons customers fuming after pub chain made major change to prices,https://www.thesun.co.uk/money/21959574/wetherspoons-price-changes-menu-latest/
13,ROD LIDDLE,Biased Beeb never asked if Donald charges are Trumped up,https://www.thesun.co.uk/news/21958086/biased-bbc-donald-trump-charges-rod-liddle/
14,'PERSONAL STAKE',Bill Clinton makes bombshell apology for Ukraine war in shock interview,https://www.thesun.co.uk/news/21959713/bill-clinton-apology-russia-ukraine-war/
