,,,,Title,URL,Short Intro,Program Type,Courses,Level,Duration,Rating,Number of Reviews,Skills,Unique Projects,Prequisites,What you learn,Related Programs,Monthly access,6-Month access,4-Month access,3-Month access,5-Month access,2-Month access,School
0,,,,Getting Started with Google Workspace,https://www.udacity.com/course/getting-started-with-google-workspace--ud300,Learn the necessary skills to be productive with Google Workspace.,Free Course,,Beginner,Estimated timeApprox. 2 Months,,,,,"No prior experience required.
See the Technology Requirements for using Udacity.",Gmail Compose  send  and reply to messages Explore some of the common actions that can be applied to a Gmail message Organize your mail using Gmail labels Compose  send  and reply to messages Explore some of the common actions that can be applied to a Gmail message Organize your mail using Gmail labels Google Calendar Learn how to create and manage Google Calendar events Learn how to update an existing event  delete and restore events  and search your calendar Understand when to apply different event types such as reminders  tasks  and appointment slots Learn how to create and manage Google Calendar events Learn how to update an existing event  delete and restore events  and search your calendar Understand when to apply different event types such as reminders  tasks  and appointment slots Google Drive Navigate your Google Drive Upload files and folders and work across file types View  arrange  organize  modify  and remove files in Google Drive Navigate your Google Drive Upload files and folders and work across file types View  arrange  organize  modify  and remove files in Google Drive Google Docs Open Google Docs  create and format a new document  and apply a template to a new document Enhance your documents using a table of contents  headers and footers  tables  drawings  images  and more Share your documents with others Open Google Docs  create and format a new document  and apply a template to a new document Enhance your documents using a table of contents  headers and footers  tables  drawings  images  and more Share your documents with others Google Sheets Open Google Sheets  create a blank spreadsheet  and create a spreadsheet from a template Add  import  sort  filter and format your data using Google Sheets and learn how to work across different file types Create a basic formula  use functions  and reference data Open Google Sheets  create a blank spreadsheet  and create a spreadsheet from a template Add  import  sort  filter and format your data using Google Sheets and learn how to work across different file types Create a basic formula  use functions  and reference data Google Slides Open Google Slides  create a blank presentation  and create a presentation from a template Explore themes  layout options  content formatting  and speaker notes in your presentations Enhance your slides by adding tables  images  charts  and more Open Google Slides  create a blank presentation  and create a presentation from a template Explore themes  layout options  content formatting  and speaker notes in your presentations Enhance your slides by adding tables  images  charts  and more Google Meet and Google Chat Become familiar with the different ways you can open Google Meet and add people to a video conference Join a meeting from different sources such as a calendar event or meeting link Use direct messaging to have a private conversation with a colleague or a small group of people Become familiar with the different ways you can open Google Meet and add people to a video conference Join a meeting from different sources such as a calendar event or meeting link Use direct messaging to have a private conversation with a colleague or a small group of people Google Sheets - Advanced Topics Explore how to create formulas using functions  reference  and validate your data in a Google Sheet Explore the data visualization options in Google Sheets  such as charts and pivot tables Explore how Forms and Sheets work together by connecting collected Form data to a spreadsheet  or by creating a Form from an existing spreadsheet Explore how to create formulas using functions  reference  and validate your data in a Google Sheet Explore the data visualization options in Google Sheets  such as charts and pivot tables Explore how Forms and Sheets work together by connecting collected Form data to a spreadsheet  or by creating a Form from an existing spreadsheet,,,,,,,,Business
1,,,,Google Cloud Digital Leader Training,https://www.udacity.com/course/google-cloud-digital-leader-training--ud301,Gain foundational cloud and digital transformation literacy.,Free Course,,Intermediate,Estimated timeApprox. 2 Weeks,,,,,"No prior experience required.
See the Technology Requirements for using Udacity.",Introduction to Digital Transformation with Google Cloud Define foundational terms such as cloud  data  and digital transformation Explore examples of companies around the world that are using cloud technology to revolutionize their businesses Overview of the types of opportunities and challenges that companies often encounter in their digital transformation journey Define foundational terms such as cloud  data  and digital transformation Explore examples of companies around the world that are using cloud technology to revolutionize their businesses Overview of the types of opportunities and challenges that companies often encounter in their digital transformation journey Innovating with Data and Google Cloud Learn what data is  historical ways companies have used it to make decisions  and why it is so critical for machine learning Introduces technical concepts such as structured and unstructured data  database  data warehouse  and data lakes Cover the most common and fastest growing Google Cloud products around data Learn what data is  historical ways companies have used it to make decisions  and why it is so critical for machine learning Introduces technical concepts such as structured and unstructured data  database  data warehouse  and data lakes Cover the most common and fastest growing Google Cloud products around data Infrastructure and Application Modernization Explore the challenges of an outdated IT infrastructure and how businesses can modernize it using cloud technology Explore the different compute options available in the cloud and the benefits of each Consider a range of Google Cloud solutions that can help businesses to better develop and manage their systems Explore the challenges of an outdated IT infrastructure and how businesses can modernize it using cloud technology Explore the different compute options available in the cloud and the benefits of each Consider a range of Google Cloud solutions that can help businesses to better develop and manage their systems Understanding Google Cloud Security and Operations Explore how businesses can choose to maintain some or none of their own infrastructure by purchasing IT services from a cloud provider Explain how the responsibility of data security is shared between the cloud provider and the business Explore the defense-in-depth security built into Google Cloud Explore how businesses can choose to maintain some or none of their own infrastructure by purchasing IT services from a cloud provider Explain how the responsibility of data security is shared between the cloud provider and the business Explore the defense-in-depth security built into Google Cloud,,,,,,,,Cloud Computing
2,,,,Cloud Native Fundamentals,https://www.udacity.com/course/cloud-native-fundamentals--ud064,"Learn how to structure, package, and release an application to a Kubernetes cluster, while using an automated CI/CD pipeline.",Free Course,,Intermediate,Estimated timeApprox. 1 Month,,,,,"A well-prepared learner will meet the following prerequisites:

Understand the basics of http (like client, server, and internet request)
Basic Python (data types, Functions, REST requests, web development)
Ability to use Git, Linux machines, and Linux Command Line
Familiar with Web application development in any language
Familiarity with Docker and exposure to a CI/CD pipeline are not required for success in this program but are helpful skills to have.

See the Technology Requirements for using Udacity.",Welcome to Cloud Native Fundamentals Evaluate the cloud native ecosystem Explore CNCF (Cloud Native Computing Foundation) and cloud native tooling Evaluate the cloud native ecosystem Explore CNCF (Cloud Native Computing Foundation) and cloud native tooling Architecture Consideration for Cloud Native Applications Choose monolith or microservice based-architecture for an application Consider and evaluate the involved trade-offs for monoliths and microservices Apply good development practices to an application Choose monolith or microservice based-architecture for an application Consider and evaluate the involved trade-offs for monoliths and microservices Apply good development practices to an application Container Orchestration with Kubernetes Use Docker to package an application and distribute it via Docker Hub Bootstrap a Kubernetes cluster using k3s Explore Kubernetes resources for an application deployment Differentiate between declarative and imperative Kubernetes management techniques Use Docker to package an application and distribute it via Docker Hub Bootstrap a Kubernetes cluster using k3s Explore Kubernetes resources for an application deployment Differentiate between declarative and imperative Kubernetes management techniques Open Source Paa SUnderstand the usage and abstracted components while using a Platform as a Service (Paa S) solution Explore application deployment with Cloud Foundry Understand the usage and abstracted components while using a Platform as a Service (Paa S) solution Explore application deployment with Cloud Foundry CI/CD with Cloud Native Tooling Explain CI/CD and its benefits Apply Continuous Integration fundamentals using Git Hub Actions Apply Continuous Delivery fundamentals using Argo CDUse Helm  as a configuration template manager  to parametrize declarative Kubernetes manifests Deploy an application using Argo CD and a Helm chart Explain CI/CD and its benefits Apply Continuous Integration fundamentals using Git Hub Actions Apply Continuous Delivery fundamentals using Argo CDUse Helm  as a configuration template manager  to parametrize declarative Kubernetes manifests Deploy an application using Argo CD and a Helm chart,,,,,,,,Cloud Computing
3,,,,Linear Algebra Refresher Course,https://www.udacity.com/course/linear-algebra-refresher-course--ud953,A Brief Refresher (with Python!),Free Course,,Intermediate,Estimated timeApprox. 4 Months,,,,,The course has no formal prerequisites except experience with some programming language. A familiarity with high-school algebra and trigonometry will also be useful.See the Technology Requirements for using Udacity.,"Vectors Learn the basic operations on vectors (one of the fundamental objects of study in linear algebra).Code a library of functions to perform operations on vectors that you will use in later lessons.Learn the basic operations on vectors (one of the fundamental objects of study in linear algebra).Code a library of functions to perform operations on vectors that you will use in later lessons.Intersections Learn the geometric and algebraic interpretation of intersections of ""flat"" objects and how to solve real-world problems.Write your own algorithm to find the intersections of sets of lines and planes.Learn the geometric and algebraic interpretation of intersections of ""flat"" objects and how to solve real-world problems.Write your own algorithm to find the intersections of sets of lines and planes.",,,,,,,,Artificial Intelligence
4,,,,Machine Learning for Trading,https://www.udacity.com/course/machine-learning-for-trading--ud501,Offered at Georgia Tech as CS 7646,Free Course,,Intermediate,Estimated timeApprox. 4 Months,,,,,"Students should have strong coding skills and some familiarity with equity markets. No finance or machine learning experience is assumed.Note that this course serves students focusing on computer science, as well as students in other majors such as industrial systems engineering, management, or math who have different experiences. All types of students are welcome!The ML topics might be ""review"" for CS students, while finance parts will be review for finance students. However, even if you have experience in these topics, you will find that we consider them in a different way than you might have seen before, in particular with an eye towards implementation for trading.Programming will primarily be in Python. We will make heavy use of numerical computing libraries like NumPy and Pandas.See the Technology Requirements for using Udacity.",Manipulating Financial Data in Python Computational Investing Machine Learning Algorithms for Trading,,,,,,,,Artificial Intelligence
5,,,,Introduction to Computer Vision,https://www.udacity.com/course/introduction-to-computer-vision--ud810,Offered at Georgia Tech as CS 6476,Free Course,,Intermediate,Estimated timeApprox. 4 Months,,,,,"Data structures: You'll be writing code that builds representations of images, features, and geometric constructions.A good working knowledge of Matlab and/or Python with NumPy. The lecture videos use Matlab for occasional demonstration because the instructor is too old to change. Problem sets will be done in Matlab or Python. As mentioned in the resources note below, you can use either Matlab or the open source version Octave.This course has more math than many CS courses: Linear algebra, vector calculus, and linear algebra (that is not a typo).No prior knowledge of vision is assumed though any experience with Signal Processing is helpful.See the Technology Requirements for using Udacity.",Introduction Introduction Introduction Image Processing for Computer Vision Linear image processing Model fitting Frequency domain analysis Linear image processing Model fitting Frequency domain analysis Camera Models and Views Camera models Stereo geometry Camera calibration Multiple views Camera models Stereo geometry Camera calibration Multiple views Image Features Feature detection Feature descriptors Model fitting Feature detection Feature descriptors Model fitting Lighting Photometry Lightness Shape from shading Photometry Lightness Shape from shading Image Motion Overview Optical flow Overview Optical flow Tracking Introduction to tracking Parametric models Non-parametric models Tracking considerations Introduction to tracking Parametric models Non-parametric models Tracking considerations Classification and Recognition Introduction to recognition Classification: Generative models Classification: Discriminative models Action recognition Introduction to recognition Classification: Generative models Classification: Discriminative models Action recognition Useful Methods Color spaces and segmentation Binary morphology3D perception Color spaces and segmentation Binary morphology3D perception Human Visual System The retina Vision in the brain The retina Vision in the brain,,,,,,,,Artificial Intelligence
6,,,,Full Stack Foundations,https://www.udacity.com/course/full-stack-foundations--ud088,Build a data-driven web app with Python,Free Course,,Intermediate,Estimated timeApprox. 3 Weeks,,,,,"You should be comfortable with Python, including Object-Oriented Programming. If you’d like to brush up on your Python, try the first three lessons of our Intro to Computer Science course. For Object-Oriented Programming in Python, see Programming Foundations with Python.You should also have a firm understanding of SQL and working with a relational database, particularly PostgreSQL. Our Intro to Relational Databases course can get you started if you feel you’re not yet prepared.Finally, you should be able to read and write HTML and CSS without any guidance. If you need a refresher on HTML and CSS, start with our Intro to HTML and CSS course.To complete the final project for this course, it is critical you meet these prerequisites as you are given no assets to begin with and will truly build a complete web application from scratch.See the Technology Requirements for using Udacity.",Working with the CRUDLearn about CRUD; Create  Read  Update  and Delete.Implement CRUD operations on a database.Use an ORM (Object-Relational Mapping) as an alternative to SQL.Learn about CRUD; Create  Read  Update  and Delete.Implement CRUD operations on a database.Use an ORM (Object-Relational Mapping) as an alternative to SQL.Making a Web Server Build a web server from scratch using Python and some pre-installed libraries.Learn how GET and POST requests can retrieve and modify information on a web site.How to add CRUD functionality to our website.Build a web server from scratch using Python and some pre-installed libraries.Learn how GET and POST requests can retrieve and modify information on a web site.How to add CRUD functionality to our website.Developing with Frameworks Introduction to web frameworks like Django and Ruby on Rails.Use the Flask web framework to develop our own web application.Introduction to APIs and how to add JSON endpoints to our application.Introduction to web frameworks like Django and Ruby on Rails.Use the Flask web framework to develop our own web application.Introduction to APIs and how to add JSON endpoints to our application.Iterative Development Build an entire web application on your own.Learn about the iterative development process.Have a working prototype throughout all stages of the development process.Build an entire web application on your own.Learn about the iterative development process.Have a working prototype throughout all stages of the development process.,,,,,,,,Programming & Development
7,,,,Product Manager Interview Preparation,https://www.udacity.com/course/product-manager-interview-preparation--ud034,"Prove your qualifications in your Product Manager interviews, and watch experienced Product Managers go through mock strategy and technical interviews, as well as share insights about the PM interview process.",Free Course,,Beginner,Estimated timeApprox. 1 Week,,,,,"This course is ideal for anyone looking to upgrade their PM interviewing skills or break into the Product Management field, and learn best practices for Product Management interviews. There are no technical prerequisites for this course.See the Technology Requirements for using Udacity.",What You Need to Know Before the Product Manager Interview Understand what skills  abilities  and experience impress Hiring Managers and help you stand out Learn how to prepare for a Product Manager interview  including what assets to prioritize and how responses should be structured Get advice from practicing Product Managers on how to get into Product Management Understand what skills  abilities  and experience impress Hiring Managers and help you stand out Learn how to prepare for a Product Manager interview  including what assets to prioritize and how responses should be structured Get advice from practicing Product Managers on how to get into Product Management Mock Interview: Product Strategy Questions Learn how to answer case questions that touch upon feature enhancements to improve product performance  metrics to measure success  and how to increase product subscriptions Learn how to justify your product decisions with a strategic framework that is structured and defensible Evaluate the strengths and weaknesses in the mock strategy interview  and apply your learnings to a set of practice questions Learn how to answer case questions that touch upon feature enhancements to improve product performance  metrics to measure success  and how to increase product subscriptions Learn how to justify your product decisions with a strategic framework that is structured and defensible Evaluate the strengths and weaknesses in the mock strategy interview  and apply your learnings to a set of practice questions Mock Interview: Technical Product Questions Learn how to answer questions around prioritizing resources in a product roadmap  and convincing cross-functional teams to execute on your vision Learn how to answer technical questions like explaining the back-end of a Google search Evaluate the strengths and weaknesses in the mock technical interview  and apply your learnings to a set of practice questions Learn how to answer questions around prioritizing resources in a product roadmap  and convincing cross-functional teams to execute on your vision Learn how to answer technical questions like explaining the back-end of a Google search Evaluate the strengths and weaknesses in the mock technical interview  and apply your learnings to a set of practice questions Day in the Life of a Product Manager Understand how Product Managers structure their day  and which skills are applied how on the job Explain the typical decisions Product Managers have to make  and the unique challenges and opportunities that are encapsulated in this role Experience a day in the life of Product Managers in the Growth and AI specializations Understand how Product Managers structure their day  and which skills are applied how on the job Explain the typical decisions Product Managers have to make  and the unique challenges and opportunities that are encapsulated in this role Experience a day in the life of Product Managers in the Growth and AI specializations,,,,,,,,Product Management
8,,,,Data Wrangling with MongoDB,https://www.udacity.com/course/data-wrangling-with-mongodb--ud032,Data Manipulation and Retrieval,Free Course,,Intermediate,Estimated timeApprox. 2 Months,,,,,"The ideal student should have the following skills:  Programming experience in Python or a willingness to read a little documentation to understand examples and exercises throughout the course.  The ability to perform rudimentary system administration on Windows or UnixAt least some experience using a unix shell or Windows PowerShell will be helpful, but is not required. No prior experience with databases is needed.  About MongoDBThis course is developed in conjunction with MongoDB, Inc., the originator and primary contributor to the open source database  MongoDB. MongoDB is the leading NoSQL database. Designed for how we build and run applications today, MongoDB empowers organizations to be more agile and scalable. It enables new types of applications, better customer experience, faster time to market and lower costs.See the Technology Requirements for using Udacity.",Data Extraction Fundamentals Assessing the Quality of Data Intro to Tabular Formats Parsing CSVAssessing the Quality of Data Intro to Tabular Formats Parsing CSVData in More Complex Formats XML Design Principles Parsing XMLWeb Scraping XML Design Principles Parsing XMLWeb Scraping Data Quality Sources of Dirty Data A Blueprint for Cleaning Auditing Data Sources of Dirty Data A Blueprint for Cleaning Auditing Data Working with Mongo DBData Modelling in Mongo DBIntroduction to Py Mongo Field Queries Data Modelling in Mongo DBIntroduction to Py Mongo Field Queries Analyzing Data Examples of Aggregation Framework The Aggregation Pipeline Aggregation Operators: $match  $project  $unwind  $group Examples of Aggregation Framework The Aggregation Pipeline Aggregation Operators: $match  $project  $unwind  $group Case Study - Open Street Map Data Using iterative parsing for large datafiles Open Street Map XML Overview Exercises around Open Street Map data Using iterative parsing for large datafiles Open Street Map XML Overview Exercises around Open Street Map data,,,,,,,,Programming & Development
9,,,,Introduction to Python Programming,https://www.udacity.com/course/introduction-to-python--ud1110,Learn to solve practical problems with Python.,Free Course,,Beginner,Estimated timeApprox. 5 Weeks,,,,,"This course is ideal for students who are new to Python, but have some experience programming in another language. If you're a complete beginner to programming, we recommend checking out the Learn to Code program, which will help you understand how code is used all over the web.  See the Technology Requirements for using Udacity.",Why Python Programming Receive an overview of what you’ll be learning and doing in the course Understand why you should learn programming with Python Receive an overview of what you’ll be learning and doing in the course Understand why you should learn programming with Python Data Types and Operators Represent data using Python's data types: integers  floats  booleans  strings  lists  tuples  sets  dictionaries  compound data structures Perform computations and create logical statements using Python’s operators: Arithmetic  Assignment  Comparison  Logical  Membership  Identity Practice whitespace and style guidelines Represent data using Python's data types: integers  floats  booleans  strings  lists  tuples  sets  dictionaries  compound data structures Perform computations and create logical statements using Python’s operators: Arithmetic  Assignment  Comparison  Logical  Membership  Identity Practice whitespace and style guidelines Control Flow Write conditional expressions using if statements and boolean expressions to add decision making to your Python programs Use for and while loops along with useful built-in functions to iterate over and manipulate lists  sets  and dictionaries Condense for loops to create lists efficiently with list comprehensions Write conditional expressions using if statements and boolean expressions to add decision making to your Python programs Use for and while loops along with useful built-in functions to iterate over and manipulate lists  sets  and dictionaries Condense for loops to create lists efficiently with list comprehensions Functions Define your own custom functions Create and reference variables using the appropriate scope Use iterators and generators to create streams of data Define your own custom functions Create and reference variables using the appropriate scope Use iterators and generators to create streams of data Scripting Install Python 3 and set up your programming environment Experiment in the terminal using a Python Interpreter Install Python 3 and set up your programming environment Experiment in the terminal using a Python Interpreter,,,,,,,,Programming & Development
